entry_id	phase	task_id	artifact_type	path	exists	status	purpose	commit_or_local_status	residual_note
Z005-E001	Z005	TASK-Z005B-03-IMPL	REPORT	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z005B-03-IMPL_readback前置链路最小实现与回归报告.md	true	LOCAL_COMMITTED	Z005 readback 前置链路实现报告	LOCAL_COMMITTED	local-dev readback chain archived
Z005-E002	Z005	TASK-Z005B-03-IMPL	EVIDENCE_JSON	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z005b_03_readback_precondition_evidence.json	true	LOCAL_COMMITTED	readback 前置证据索引	LOCAL_COMMITTED	readback precondition evidence
Z005-E003	Z005	TASK-Z005B-03-IMPL	BROWSER_RESULT_JSON	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z005b_03_readback_precondition_browser_result.json	true	LOCAL_COMMITTED	readback 前置浏览器只读采样结果	LOCAL_COMMITTED	readonly browser capture only
Z005-E004	Z005	TASK-Z005B-12-IMPL	REPORT	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z005B-12-IMPL_warehouse_readback_static_fallback最小实现与回归报告.md	true	LOCAL_COMMITTED	warehouse readback static fallback 报告	LOCAL_COMMITTED	local-dev static fallback evidence
Z005-E005	Z005	TASK-Z005B-12-IMPL	EVIDENCE_JSON	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z005b_12_warehouse_readback_static_fallback_evidence.json	true	LOCAL_COMMITTED	static fallback 证据	LOCAL_COMMITTED	fallback evidence archived
Z005-E006	Z005	TASK-Z005B-12-IMPL	BROWSER_RESULT_JSON	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z005b_12_warehouse_readback_static_fallback_browser_result.json	true	LOCAL_COMMITTED	static fallback 浏览器采样结果	LOCAL_COMMITTED	readonly browser sampling
Z005-E007	Z005	TASK-Z005B-24	REPORT	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z005B-24_Z005本地readback最终锚定提交后归档报告.md	true	LOCAL_ARCHIVED	Z005 最终归档报告	LOCAL_ARCHIVED	final local status anchor
Z005-E008	Z005	TASK-Z005B-24	ARCHIVE_JSON	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z005b_24_z005_post_commit_final_readback_archive.json	true	LOCAL_ARCHIVED	Z005 最终归档 JSON	LOCAL_ARCHIVED	production_readback_ready remains false
Z006-E001	Z006	TASK-Z006B-03-IMPL	REPORT	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z006B-03-IMPL_warehouse_adapter_contract_fixture最小实现与回归报告.md	true	LOCAL_COMMITTED	warehouse adapter contract 报告	LOCAL_COMMITTED	adapter contract local committed
Z006-E002	Z006	TASK-Z006B-03-IMPL	EVIDENCE_JSON	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z006b_03_warehouse_adapter_contract_fixture_evidence.json	true	LOCAL_COMMITTED	warehouse adapter contract 证据	LOCAL_COMMITTED	fixture contract evidence
Z006-E003	Z006	TASK-Z006B-09-IMPL	REPORT	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z006B-09-IMPL_warehouse_permission_mode_readback_matrix最小实现与回归报告.md	true	LOCAL_COMMITTED	permission matrix 报告	LOCAL_COMMITTED	readback matrix local committed
