section	key	value
SUMMARY	head	b6afecfe4997c493753f062d427b2ae5613c6ca5
SUMMARY	branch	codex/sprint4-seal
SUMMARY	regression_only	true
SUMMARY	code_modified_in_this_task	false
SUMMARY	changed_files	06_前端/lingyi-pc/src/views/sales_inventory/SalesInventoryStockLedger.vue|06_前端/lingyi-pc/src/views/warehouse/WarehouseDashboard.vue|07_后端/lingyi_service/app/local_dev.py
SUMMARY	local_mvp_loop_complete	true
SUMMARY	data_classification	test_data
SUMMARY	next_task	TASK-MVP-B051-LEDGER-CAND006
EVIDENCE	route_/sales-inventory/stock-ledger	200
EVIDENCE	route_/warehouse	200
EVIDENCE	screenshots	03_需求与设计/02_开发计划/evidence/mvp_b050_cand006_inventory_regression/sales-inventory_stock-ledger_1440x1200.png|03_需求与设计/02_开发计划/evidence/mvp_b050_cand006_inventory_regression/warehouse_1440x1200.png
EVIDENCE	dom_anchors_observed	12/12
EVIDENCE	scenario_tag	MVP-CAND006-B050-20260531175226
EVIDENCE	save_success	true
EVIDENCE	draft_id_created	true
EVIDENCE	readback_success	true
EVIDENCE	cancel_success	true
EVIDENCE	rollback_success	true
EVIDENCE	zero_residual_success	true
EVIDENCE	residual_records_after_rollback	0
DATA_BOUNDARY	test_data_used	true
DATA_BOUNDARY	seed_data_used	false
DATA_BOUNDARY	sqlite_not_formal_database	true
DATA_BOUNDARY	sqlite_direct_reuse_for_production_forbidden	true
DATA_BOUNDARY	not_future_production_data	true
DATA_BOUNDARY	real_inventory_finance_production_records_migrated	false
DATA_BOUNDARY	real_stock_in_out_records_migrated	false
NETWORK	write_requests_only_local_dev	true
NETWORK	auth_401_count	0
NETWORK	production_write_requests	0
NETWORK	erpnext_production_write_requests	0
NETWORK	erpnext_production_connected	false
NETWORK	real_production_account_used	false
TYPECHECK	command	npm run typecheck
TYPECHECK	workdir	06_前端/lingyi-pc
TYPECHECK	exit_code	0
SCOPE_GUARD	forbidden_paths_touched	[]
SCOPE_GUARD	dirty_intersections	[]
SCOPE_GUARD	unknown_dirty	[]
SCOPE_GUARD	must_block_before_continue	[]
SCOPE_GUARD	git_diff_check	PASS
SCOPE_GUARD	cached_empty	true
