field	value
task_id	TASK-Z023B-30-FIX-CAND004-SECOND
selected_candidate_id	Z023-CAND-004
source_task_id	TASK-Z023B-29-PREP-CAND004-SECOND-FAILURE-DIAG
fixed_file	07_后端/lingyi_service/tests/test_subcontract_permissions.py
helper_binding_fixed	YES
receive_sync_status_assertion_fixed	PARTIAL
assertions_weakened	NO
skip_xfail_deleted_cases	NO
command	.venv/bin/python -m pytest tests/test_subcontract_permissions.py -q
command_run_count	1
exit_code	1
result	FAIL
pytest_summary	1 failed, 17 passed, 8 warnings in 1.10s
stdout_log	03_需求与设计/02_开发计划/task_z023b_30_cand004_second_fix_stdout.txt
failure_summary	test_receive_fail_closed_after_auth_does_not_create_receipt expected outbox.status pending but actual was succeeded
stopped_after_fail	YES
continued_fix_after_fail	NO
git_diff_cached_name_only	EMPTY
git_diff_check	PASS
stage_performed	NO
commit_performed	NO
push_performed	NO
production_or_real_business_write	NO
parked_blockers_released	NO
