path	category	belongs_to_closed_candidate	belongs_to_current_Z034	historical_dirty_forbidden	unknown_dirty	must_block_before_continue	allowed_in_next_ledger	evidence_basis
06_前端/lingyi-pc/src/views/cross_module/CrossModuleView.vue	historical_dirty_forbidden	false	false	true	false	false	false	Current tracked diff 1 insertion/1 deletion; listed in Z032B-41 historical_dirty_forbidden_paths and Z033B-04 no_paths; not B04 allowed_fix_file.
06_前端/lingyi-pc/src/views/production/ProductionPlanList.vue	historical_dirty_forbidden	false	false	true	false	false	false	Current tracked diff 1 insertion/1 deletion; listed in Z032B-41 historical_dirty_forbidden_paths and Z033B-04 no_paths; not B04 allowed_fix_file.
06_前端/lingyi-pc/src/views/quality/QualityInspectionDetail.vue	historical_dirty_forbidden	false	false	true	false	false	false	Current tracked diff 11 insertions/11 deletions; listed in Z032B-41 historical_dirty_forbidden_paths and Z033B-04 no_paths; not B04 allowed_fix_file.
06_前端/lingyi-pc/src/views/quality/QualityInspectionList.vue	historical_dirty_forbidden	false	false	true	false	false	false	Current tracked diff 4 insertions/4 deletions; listed in Z032B-41 historical_dirty_forbidden_paths and Z033B-04 no_paths; not B04 allowed_fix_file.
06_前端/lingyi-pc/src/views/sales_inventory/SalesInventorySalesOrderDetail.vue	historical_dirty_forbidden	false	false	true	false	false	false	Current tracked diff 2 insertions/2 deletions; listed in Z032B-41 historical_dirty_forbidden_paths and Z033B-04 no_paths; not B04 allowed_fix_file.
06_前端/lingyi-pc/src/views/sales_inventory/SalesInventorySalesOrderList.vue	historical_dirty_forbidden	false	false	true	false	false	false	Current tracked diff 20 insertions/20 deletions; listed in Z032B-41 historical_dirty_forbidden_paths and Z033B-04 no_paths; not B04 allowed_fix_file.
07_后端/lingyi_service/app/schemas/report.py	historical_dirty_forbidden	false	false	true	false	false	false	Current tracked diff 1 insertion/1 deletion; listed in Z032B-41 historical_dirty_forbidden_paths and Z033B-04 no_paths; backend app path is not B04 allowed_fix_file.
07_后端/lingyi_service/app/services/report_catalog_service.py	historical_dirty_forbidden	false	false	true	false	false	false	Current tracked diff 6 insertions/6 deletions; listed in Z032B-41 historical_dirty_forbidden_paths and Z033B-04 no_paths; backend app path is not B04 allowed_fix_file.
07_后端/lingyi_service/app/services/system_config_catalog_service.py	historical_dirty_forbidden	false	false	true	false	false	false	Current tracked diff 4 insertions/4 deletions; listed in Z032B-41 historical_dirty_forbidden_paths and Z033B-04 no_paths; backend app path is not B04 allowed_fix_file.
07_后端/lingyi_service/tests/test_bom_permissions.py	historical_dirty_forbidden	false	false	true	false	false	false	Current tracked diff 15 insertions/2 deletions; listed in Z032B-41 historical_dirty_forbidden_paths and Z033B-04 no_paths; not B04 allowed_fix_file.
07_后端/lingyi_service/tests/test_logging_sanitization.py	historical_dirty_forbidden	false	false	true	false	false	false	Current tracked diff 37 insertions/9 deletions; listed in Z032B-41 historical_dirty_forbidden_paths and Z033B-04 no_paths; not B04 allowed_fix_file.
07_后端/lingyi_service/tests/test_permission_governance_audit_export.py	historical_dirty_forbidden	false	false	true	false	false	false	Current tracked diff 7 insertions/4 deletions; listed in Z032B-41 historical_dirty_forbidden_paths and Z033B-04 no_paths; not B04 allowed_fix_file.
07_后端/lingyi_service/tests/test_request_id_sanitization.py	historical_dirty_forbidden	false	false	true	false	false	false	Current tracked diff 42 insertions/3 deletions; listed in Z032B-41 historical_dirty_forbidden_paths and Z033B-04 no_paths; not B04 allowed_fix_file.
07_后端/lingyi_service/tests/test_style_profit_api.py	historical_dirty_forbidden	false	false	true	false	false	false	Current tracked diff 18 insertions/13 deletions; listed in Z032B-41 historical_dirty_forbidden_paths and Z033B-04 no_paths; similarly named but not B04 allowed_fix_file test_style_profit_api_audit.py.
07_后端/lingyi_service/tests/test_subcontract_company_permission.py	historical_dirty_forbidden	false	false	true	false	false	false	Current tracked diff 212 insertions/47 deletions; listed in Z032B-41 historical_dirty_forbidden_paths and Z033B-04 no_paths; not B04 allowed_fix_file.
07_后端/lingyi_service/tests/test_workshop_permissions.py	historical_dirty_forbidden	false	false	true	false	false	false	Current tracked diff 196 insertions/67 deletions; listed in Z032B-41 historical_dirty_forbidden_paths and Z033B-04 no_paths; not B04 allowed_fix_file.
