check_id	check_type	status	target	error_count	detail	observed	expected
Z007-B68-REFRESH-JSON-EXIST	file_exists	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_68_remaining_candidate_refresh.json	0	null	exists	exists
Z007-B68-REFRESH-JSON-HYGIENE	text_hygiene	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_68_remaining_candidate_refresh.json	0	null	"{""eof_single_newline"": true, ""trailing_whitespace_count"": 0}"	"{""eof_single_newline"": true, ""trailing_whitespace_count"": 0}"
Z007-B68-REFRESH-JSON-JSON	json_parse	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_68_remaining_candidate_refresh.json	0	null	parse_ok	parse_ok
Z007-B68-REFRESH-TSV-EXIST	file_exists	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_68_remaining_candidate_refresh.tsv	0	null	exists	exists
Z007-B68-REFRESH-TSV-HYGIENE	text_hygiene	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_68_remaining_candidate_refresh.tsv	0	null	"{""eof_single_newline"": true, ""trailing_whitespace_count"": 0}"	"{""eof_single_newline"": true, ""trailing_whitespace_count"": 0}"
Z007-B62-REFRESH-JSON-EXIST	file_exists	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_62_remaining_candidate_refresh.json	0	null	exists	exists
Z007-B62-REFRESH-JSON-HYGIENE	text_hygiene	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_62_remaining_candidate_refresh.json	0	null	"{""eof_single_newline"": true, ""trailing_whitespace_count"": 0}"	"{""eof_single_newline"": true, ""trailing_whitespace_count"": 0}"
Z007-B62-REFRESH-JSON-JSON	json_parse	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_62_remaining_candidate_refresh.json	0	null	parse_ok	parse_ok
Z007-B52-ACCESS-JSON-EXIST	file_exists	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_52_production_readonly_access_packet_template.json	0	null	exists	exists
Z007-B52-ACCESS-JSON-HYGIENE	text_hygiene	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_52_production_readonly_access_packet_template.json	0	null	"{""eof_single_newline"": true, ""trailing_whitespace_count"": 0}"	"{""eof_single_newline"": true, ""trailing_whitespace_count"": 0}"
Z007-B52-ACCESS-JSON-JSON	json_parse	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_52_production_readonly_access_packet_template.json	0	null	parse_ok	parse_ok
Z007-B52-REMOTE-JSON-EXIST	file_exists	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_52_remote_lifecycle_authorization_checklist.json	0	null	exists	exists
Z007-B52-REMOTE-JSON-HYGIENE	text_hygiene	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_52_remote_lifecycle_authorization_checklist.json	0	null	"{""eof_single_newline"": true, ""trailing_whitespace_count"": 0}"	"{""eof_single_newline"": true, ""trailing_whitespace_count"": 0}"
Z007-B52-REMOTE-JSON-JSON	json_parse	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_52_remote_lifecycle_authorization_checklist.json	0	null	parse_ok	parse_ok
Z007-B58-BLOCKER-JSON-EXIST	file_exists	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_blocker_matrix.json	0	null	exists	exists
Z007-B58-BLOCKER-JSON-HYGIENE	text_hygiene	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_blocker_matrix.json	0	null	"{""eof_single_newline"": true, ""trailing_whitespace_count"": 0}"	"{""eof_single_newline"": true, ""trailing_whitespace_count"": 0}"
Z007-B58-BLOCKER-JSON-JSON	json_parse	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_blocker_matrix.json	0	null	parse_ok	parse_ok
Z007-B64-READABLE-BLOCKER-JSON-EXIST	file_exists	PASS	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z007_pre_go_live_local_audit_packet/z007_local_audit_packet_readable_blocker_summary.json	0	null	exists	exists
Z007-B64-READABLE-BLOCKER-JSON-HYGIENE	text_hygiene	PASS	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z007_pre_go_live_local_audit_packet/z007_local_audit_packet_readable_blocker_summary.json	0	null	"{""eof_single_newline"": true, ""trailing_whitespace_count"": 0}"	"{""eof_single_newline"": true, ""trailing_whitespace_count"": 0}"
Z007-B64-READABLE-BLOCKER-JSON-JSON	json_parse	PASS	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z007_pre_go_live_local_audit_packet/z007_local_audit_packet_readable_blocker_summary.json	0	null	parse_ok	parse_ok
Z008-B26-REFRESH-JSON-EXIST	file_exists	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z008b_26_remaining_candidate_refresh.json	0	null	exists	exists
Z008-B26-REFRESH-JSON-HYGIENE	text_hygiene	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z008b_26_remaining_candidate_refresh.json	0	null	"{""eof_single_newline"": true, ""trailing_whitespace_count"": 0}"	"{""eof_single_newline"": true, ""trailing_whitespace_count"": 0}"
Z008-B26-REFRESH-JSON-JSON	json_parse	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z008b_26_remaining_candidate_refresh.json	0	null	parse_ok	parse_ok
Z008-B31-REFRESH-JSON-EXIST	file_exists	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z008b_31_remaining_candidate_refresh.json	0	null	exists	exists
Z008-B31-REFRESH-JSON-HYGIENE	text_hygiene	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z008b_31_remaining_candidate_refresh.json	0	null	"{""eof_single_newline"": true, ""trailing_whitespace_count"": 0}"	"{""eof_single_newline"": true, ""trailing_whitespace_count"": 0}"
Z008-B31-REFRESH-JSON-JSON	json_parse	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z008b_31_remaining_candidate_refresh.json	0	null	parse_ok	parse_ok
Z008-B31-REFRESH-TSV-EXIST	file_exists	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z008b_31_remaining_candidate_refresh.tsv	0	null	exists	exists
Z008-B31-REFRESH-TSV-HYGIENE	text_hygiene	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z008b_31_remaining_candidate_refresh.tsv	0	null	"{""eof_single_newline"": true, ""trailing_whitespace_count"": 0}"	"{""eof_single_newline"": true, ""trailing_whitespace_count"": 0}"
PAIR-Z007-B68-REFRESH	json_tsv_pair	PASS	task_z007b_68_remaining_candidate_refresh.json<->task_z007b_68_remaining_candidate_refresh.tsv	0	null	"{""json_count"": 6, ""mismatch_count"": 0, ""tsv_count"": 6}"	"{""mismatch_count"": 0}"
PAIR-Z008-B31-REFRESH	json_tsv_pair	PASS	task_z008b_31_remaining_candidate_refresh.json<->task_z008b_31_remaining_candidate_refresh.tsv	0	null	"{""json_count"": 2, ""mismatch_count"": 0, ""tsv_count"": 2}"	"{""mismatch_count"": 0}"
STATE-Z007-B68-HOLD	state_check	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_68_remaining_candidate_refresh.json	0	null	"{""go_live_ready"": false, ""production_readback_ready"": false, ""project_completion_claimed"": false, ""remote_lifecycle_parked"": true}"	"{""go_live_ready"": false, ""production_readback_ready"": false, ""project_completion_claimed"": false, ""remote_lifecycle_parked"": true}"
STATE-Z007-B62-HOLD	state_check	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_62_remaining_candidate_refresh.json	0	null	"{""go_live_ready"": false, ""production_readback_ready"": false, ""project_completion_claimed"": false, ""remote_lifecycle_parked"": true}"	"{""go_live_ready"": false, ""production_readback_ready"": false, ""project_completion_claimed"": false, ""remote_lifecycle_parked"": true}"
