section	field	value
summary	head	bacbc355e58b8f0fbf8a847f3775729927b9ad8c
summary	branch	codex/sprint4-seal
summary	cached_empty	true
summary	selected_candidate	MVP-CAND-002
summary	module	基础资料
summary	routes	/sales-inventory/references|/foundation/warehouse
summary	prep_only	true
summary	next_task	TASK-MVP-B011-IMPL
boundary	allowed_files	06_前端/lingyi-pc/src/views/sales_inventory/SalesInventoryReferenceList.vue|06_前端/lingyi-pc/src/views/warehouse/WarehouseDashboard.vue
boundary	optional_support_allowed_files	07_后端/lingyi_service/app/local_dev.py
boundary	local_dev_py_status	exists=true;tracked=true;clean=true;gitignored=false;reused_support=true
boundary	route_source_locations	06_前端/lingyi-pc/src/router/index.ts:180-183|06_前端/lingyi-pc/src/router/index.ts:233-234|06_前端/lingyi-pc/src/router/index.ts:186-189
boundary	contract_source	ui_business_contract_source
boundary	query_flow_required	keyword|类型/类别|状态|仓库/物料联动|结果影响可见列表/状态卡
boundary	local_write_loop	storage=local-dev/sqlite/scenario_tag;save;cancel;readback;rollback;zero_residual;scenario_tag
boundary	dom_anchors	mvp-basic-reference-tabs|mvp-basic-reference-query-filter|mvp-basic-customer-reference|mvp-basic-supplier-reference|mvp-basic-factory-reference|mvp-basic-material-reference|mvp-basic-warehouse-card|mvp-basic-local-draft|mvp-basic-local-save-cancel-readback|mvp-basic-rollback-zero-residual
boundary	evidence_requirement	route_200;screenshot_1440x1200*2;anchors_10of10;local_write_loop_success;production_write_0;typecheck_0
dirty	dirty_tracked_count	19
dirty	frontend_dirty_count	6
dirty	backend_dirty_count	10
dirty	log_control_dirty_count	3
dirty	dirty_intersections	[]
dirty	unknown_dirty	[]
dirty	must_block_before_continue	[]
checks	git_diff_check	PASS
checks	product_code_changed	false
checks	validation_rerun	false
checks	staged_area_empty	true
checks	outputs_unstaged	true
risk	residual_risk	local_dev.py remains local-dev support only|remote_lifecycle_parked=true|production_readback=false|go_live=false|project_completion=false
