path	decision	category	reason
03_需求与设计/02_开发计划/TASK-Z023B-25-PREP_Z023候选004边界冻结报告.md	YES	B25_BOUNDARY	CAND004 boundary report
03_需求与设计/02_开发计划/task_z023b_25_cand004_boundary.json	YES	B25_BOUNDARY	CAND004 boundary JSON
03_需求与设计/02_开发计划/task_z023b_25_cand004_boundary.tsv	YES	B25_BOUNDARY	CAND004 boundary TSV
03_需求与设计/02_开发计划/TASK-Z023B-26-IMPL_Z023候选004单文件验证报告.md	YES	B26_INITIAL_IMPL	CAND004 initial validation report
03_需求与设计/02_开发计划/task_z023b_26_cand004_result.json	YES	B26_INITIAL_IMPL	CAND004 initial validation JSON
03_需求与设计/02_开发计划/task_z023b_26_cand004_result.tsv	YES	B26_INITIAL_IMPL	CAND004 initial validation TSV
03_需求与设计/02_开发计划/task_z023b_26_cand004_stdout.txt	YES	B26_INITIAL_IMPL	CAND004 initial validation stdout
03_需求与设计/02_开发计划/TASK-Z023B-27-PREP-CAND004-FAILURE-DIAG_Z023候选004失败定位报告.md	YES	B27_FAILURE_DIAG	CAND004 failure diagnosis report
03_需求与设计/02_开发计划/task_z023b_27_cand004_failure_diag_boundary.json	YES	B27_FAILURE_DIAG	CAND004 failure diagnosis JSON
03_需求与设计/02_开发计划/task_z023b_27_cand004_failure_diag_boundary.tsv	YES	B27_FAILURE_DIAG	CAND004 failure diagnosis TSV
03_需求与设计/02_开发计划/TASK-Z023B-28-FIX-CAND004_Z023候选004subcontract权限测试合同修复报告.md	YES	B28_FIX_ATTEMPT	CAND004 first fix report
03_需求与设计/02_开发计划/task_z023b_28_cand004_fix_result.json	YES	B28_FIX_ATTEMPT	CAND004 first fix JSON
03_需求与设计/02_开发计划/task_z023b_28_cand004_fix_result.tsv	YES	B28_FIX_ATTEMPT	CAND004 first fix TSV
03_需求与设计/02_开发计划/task_z023b_28_cand004_fix_stdout.txt	YES	B28_FIX_ATTEMPT	CAND004 first fix stdout
03_需求与设计/02_开发计划/TASK-Z023B-29-PREP-CAND004-SECOND-FAILURE-DIAG_Z023候选004二次失败定位报告.md	YES	B29_SECOND_FAILURE_DIAG	CAND004 second failure diagnosis report
03_需求与设计/02_开发计划/task_z023b_29_cand004_second_failure_boundary.json	YES	B29_SECOND_FAILURE_DIAG	CAND004 second failure diagnosis JSON
03_需求与设计/02_开发计划/task_z023b_29_cand004_second_failure_boundary.tsv	YES	B29_SECOND_FAILURE_DIAG	CAND004 second failure diagnosis TSV
03_需求与设计/02_开发计划/TASK-Z023B-30-FIX-CAND004-SECOND_Z023候选004二次测试合同修复报告.md	YES	B30_SECOND_FIX_ATTEMPT	CAND004 second fix report
03_需求与设计/02_开发计划/task_z023b_30_cand004_second_fix_result.json	YES	B30_SECOND_FIX_ATTEMPT	CAND004 second fix JSON
03_需求与设计/02_开发计划/task_z023b_30_cand004_second_fix_result.tsv	YES	B30_SECOND_FIX_ATTEMPT	CAND004 second fix TSV
03_需求与设计/02_开发计划/task_z023b_30_cand004_second_fix_stdout.txt	YES	B30_SECOND_FIX_ATTEMPT	CAND004 second fix stdout
03_需求与设计/02_开发计划/TASK-Z023B-31-PREP-CAND004-THIRD-FAILURE-DIAG_Z023候选004第三次失败定位报告.md	YES	B31_THIRD_FAILURE_DIAG	CAND004 third failure diagnosis report
03_需求与设计/02_开发计划/task_z023b_31_cand004_third_failure_boundary.json	YES	B31_THIRD_FAILURE_DIAG	CAND004 third failure diagnosis JSON
03_需求与设计/02_开发计划/task_z023b_31_cand004_third_failure_boundary.tsv	YES	B31_THIRD_FAILURE_DIAG	CAND004 third failure diagnosis TSV
03_需求与设计/02_开发计划/TASK-Z023B-32-FIX-CAND004-THIRD_Z023候选004第三次测试合同修复报告.md	YES	B32_FINAL_FIX_PASS	CAND004 final fix report
03_需求与设计/02_开发计划/task_z023b_32_cand004_third_fix_result.json	YES	B32_FINAL_FIX_PASS	CAND004 final fix JSON
03_需求与设计/02_开发计划/task_z023b_32_cand004_third_fix_result.tsv	YES	B32_FINAL_FIX_PASS	CAND004 final fix TSV
03_需求与设计/02_开发计划/task_z023b_32_cand004_third_fix_stdout.txt	YES	B32_FINAL_FIX_PASS	CAND004 final fix stdout
03_需求与设计/02_开发计划/TASK-Z023B-33-LEDGER-CAND004_Z023候选004subcontract权限边界账本冻结报告.md	YES	B33_LEDGER	CAND004 ledger report
03_需求与设计/02_开发计划/task_z023b_33_cand004_freeze.json	YES	B33_LEDGER	CAND004 freeze JSON
03_需求与设计/02_开发计划/task_z023b_33_cand004_ledger.json	YES	B33_LEDGER	CAND004 ledger JSON
03_需求与设计/02_开发计划/task_z023b_33_cand004_ledger.tsv	YES	B33_LEDGER	CAND004 ledger TSV
07_后端/lingyi_service/tests/test_subcontract_permissions.py	YES	TARGET_TEST	CAND004 fixed subcontract permission test
06_前端	NO	FRONTEND_SCOPE	Frontend is out of CAND004 ledger scope
07_后端/lingyi_service/app	NO	BACKEND_APP_SCOPE	Backend app code is out of CAND004 ledger scope
07_后端/lingyi_service/tests/test_factory_statement_permissions.py	NO	OTHER_TEST	Z023-CAND-001 test is out of CAND004 scope
07_后端/lingyi_service/tests/test_production_permissions.py	NO	OTHER_TEST	Z023-CAND-002 test is out of CAND004 scope
07_后端/lingyi_service/tests/test_sales_inventory_permissions.py	NO	OTHER_TEST	Z023-CAND-003 test is out of CAND004 scope
