check_id	category	target_path	status	expected	observed	residual_note	severity
CP-001	source_head	/Users/hh/Desktop/领意服装管理系统	PASS	44bed39c58dc68493a36cbb49391e458ea24a231	44bed39c58dc68493a36cbb49391e458ea24a231		BLOCKING
CP-002	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z005B-03-IMPL_readback前置链路最小实现与回归报告.md	PASS	exists=true	exists=True	Z005-E001	BLOCKING
CP-003	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z005b_03_readback_precondition_evidence.json	PASS	exists=true	exists=True	Z005-E002	BLOCKING
CP-004	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z005b_03_readback_precondition_browser_result.json	PASS	exists=true	exists=True	Z005-E003	BLOCKING
CP-005	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z005B-12-IMPL_warehouse_readback_static_fallback最小实现与回归报告.md	PASS	exists=true	exists=True	Z005-E004	BLOCKING
CP-006	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z005b_12_warehouse_readback_static_fallback_evidence.json	PASS	exists=true	exists=True	Z005-E005	BLOCKING
CP-007	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z005b_12_warehouse_readback_static_fallback_browser_result.json	PASS	exists=true	exists=True	Z005-E006	BLOCKING
CP-008	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z005B-24_Z005本地readback最终锚定提交后归档报告.md	PASS	exists=true	exists=True	Z005-E007	BLOCKING
CP-009	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z005b_24_z005_post_commit_final_readback_archive.json	PASS	exists=true	exists=True	Z005-E008	BLOCKING
CP-010	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z006B-03-IMPL_warehouse_adapter_contract_fixture最小实现与回归报告.md	PASS	exists=true	exists=True	Z006-E001	BLOCKING
CP-011	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z006b_03_warehouse_adapter_contract_fixture_evidence.json	PASS	exists=true	exists=True	Z006-E002	BLOCKING
CP-012	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z006B-09-IMPL_warehouse_permission_mode_readback_matrix最小实现与回归报告.md	PASS	exists=true	exists=True	Z006-E003	BLOCKING
CP-013	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z006b_09_warehouse_permission_mode_readback_matrix_evidence.json	PASS	exists=true	exists=True	Z006-E004	BLOCKING
CP-014	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z006B-15-IMPL_go_live_acceptance_audit_bundle执行与回归报告.md	PASS	exists=true	exists=True	Z006-E005	BLOCKING
CP-015	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z006b_15_go_live_acceptance_audit_bundle.json	PASS	exists=true	exists=True	Z006-E006	BLOCKING
CP-016	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z006B-25_Z006_UI只读证据提交后归档与剩余候选刷新报告.md	PASS	exists=true	exists=True	Z006-E007	BLOCKING
CP-017	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z006b_25_remaining_candidate_refresh.json	PASS	exists=true	exists=True	Z006-E008	BLOCKING
CP-018	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z007B-21-IMPL_路由1比1readonly端点扩边复测与回归报告.md	PASS	exists=true	exists=True	Z007-E001	BLOCKING
CP-019	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_21_route_parity_readonly_endpoint_expansion_evidence.json	PASS	exists=true	exists=True	Z007-E002	BLOCKING
CP-020	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z007B-37-IMPL_本地adapter_fixture_contract扩展最小实现与回归报告.md	PASS	exists=true	exists=True	Z007-E003	BLOCKING
CP-021	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_37_adapter_fixture_contract_extension_evidence.json	PASS	exists=true	exists=True	Z007-E004	BLOCKING
CP-022	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z007B-43-IMPL_style字段readback映射最小实现与回归报告.md	PASS	exists=true	exists=True	Z007-E005	BLOCKING
CP-023	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_43_style_mapping_readback_evidence.json	PASS	exists=true	exists=True	Z007-E006	BLOCKING
CP-024	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z007B-52-IMPL_生产只读访问包与远端授权清单模板生成报告.md	PASS	exists=true	exists=True	Z007-E007	BLOCKING
CP-025	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_52_production_readonly_access_packet_template.json	PASS	exists=true	exists=True	Z007-E008	BLOCKING
