classification	path
YES	03_需求与设计/02_开发计划/TASK-Z032B-09-PREP_CAND002只读验证边界报告.md
YES	03_需求与设计/02_开发计划/task_z032b_09_cand002_boundary.json
YES	03_需求与设计/02_开发计划/task_z032b_09_cand002_boundary.tsv
YES	03_需求与设计/02_开发计划/TASK-Z032B-10-IMPL_CAND002单文件验证报告.md
YES	03_需求与设计/02_开发计划/task_z032b_10_cand002_result.json
YES	03_需求与设计/02_开发计划/task_z032b_10_cand002_result.tsv
YES	03_需求与设计/02_开发计划/task_z032b_10_cand002_stdout.txt
YES	03_需求与设计/02_开发计划/TASK-Z032B-11-PREP-CAND002-FAILURE-DIAG_失败定位边界报告.md
YES	03_需求与设计/02_开发计划/task_z032b_11_cand002_failure_boundary.json
YES	03_需求与设计/02_开发计划/task_z032b_11_cand002_failure_boundary.tsv
YES	03_需求与设计/02_开发计划/TASK-Z032B-12-FIX-CAND002_修复验证报告.md
YES	03_需求与设计/02_开发计划/task_z032b_12_cand002_fix_result.json
YES	03_需求与设计/02_开发计划/task_z032b_12_cand002_fix_result.tsv
YES	03_需求与设计/02_开发计划/task_z032b_12_cand002_fix_stdout.txt
YES	03_需求与设计/02_开发计划/TASK-Z032B-13-PREP-CAND002-SECOND-FAILURE-DIAG_二次失败定位边界报告.md
YES	03_需求与设计/02_开发计划/task_z032b_13_cand002_second_failure_boundary.json
YES	03_需求与设计/02_开发计划/task_z032b_13_cand002_second_failure_boundary.tsv
YES	03_需求与设计/02_开发计划/TASK-Z032B-14-FIX-CAND002-SECOND_二次修复验证报告.md
YES	03_需求与设计/02_开发计划/task_z032b_14_cand002_second_fix_result.json
YES	03_需求与设计/02_开发计划/task_z032b_14_cand002_second_fix_result.tsv
YES	03_需求与设计/02_开发计划/task_z032b_14_cand002_second_fix_stdout.txt
YES	03_需求与设计/02_开发计划/TASK-Z032B-15-PREP-CAND002-THIRD-FAILURE-DIAG_三次失败定位边界报告.md
YES	03_需求与设计/02_开发计划/task_z032b_15_cand002_third_failure_boundary.json
YES	03_需求与设计/02_开发计划/task_z032b_15_cand002_third_failure_boundary.tsv
YES	03_需求与设计/02_开发计划/TASK-Z032B-16-FIX-CAND002-THIRD_三次修复验证报告.md
YES	03_需求与设计/02_开发计划/task_z032b_16_cand002_third_fix_result.json
YES	03_需求与设计/02_开发计划/task_z032b_16_cand002_third_fix_result.tsv
YES	03_需求与设计/02_开发计划/task_z032b_16_cand002_third_fix_stdout.txt
YES	03_需求与设计/02_开发计划/TASK-Z032B-17-LEDGER-CAND002_提交候选账本冻结报告.md
YES	03_需求与设计/02_开发计划/task_z032b_17_cand002_freeze.json
YES	03_需求与设计/02_开发计划/task_z032b_17_cand002_ledger.json
YES	03_需求与设计/02_开发计划/task_z032b_17_cand002_ledger.tsv
YES	07_后端/lingyi_service/tests/test_subcontract_settlement_export.py
NO	03_需求与设计/02_开发计划/TASK-Z032B-01-PREP_候选池重建报告.md
NO	03_需求与设计/02_开发计划/task_z032b_01_candidate_pool.json
NO	03_需求与设计/02_开发计划/task_z032b_01_candidate_pool.tsv
NO	03_需求与设计/02_开发计划/TASK-Z032B-02-PREP_CAND001只读验证边界报告.md
NO	03_需求与设计/02_开发计划/task_z032b_02_cand001_boundary.json
NO	03_需求与设计/02_开发计划/task_z032b_02_cand001_boundary.tsv
NO	03_需求与设计/02_开发计划/TASK-Z032B-03-IMPL_CAND001单文件验证报告.md
NO	03_需求与设计/02_开发计划/task_z032b_03_cand001_result.json
NO	03_需求与设计/02_开发计划/task_z032b_03_cand001_result.tsv
NO	03_需求与设计/02_开发计划/task_z032b_03_cand001_stdout.txt
NO	03_需求与设计/02_开发计划/TASK-Z032B-04-LEDGER-CAND001_提交候选账本冻结报告.md
NO	03_需求与设计/02_开发计划/task_z032b_04_cand001_freeze.json
NO	03_需求与设计/02_开发计划/task_z032b_04_cand001_ledger.json
NO	03_需求与设计/02_开发计划/task_z032b_04_cand001_ledger.tsv
NO	03_需求与设计/02_开发计划/TASK-Z032B-05-STAGE-CAND001_暂存结果报告.md
NO	03_需求与设计/02_开发计划/task_z032b_05_cand001_stage_result.json
NO	03_需求与设计/02_开发计划/task_z032b_05_cand001_stage_result.tsv
NO	03_需求与设计/02_开发计划/TASK-Z032B-05-STAGE-CAND001-FIX1_暂存空白修复报告.md
NO	03_需求与设计/02_开发计划/task_z032b_05_cand001_stage_fix1_result.json
NO	03_需求与设计/02_开发计划/task_z032b_05_cand001_stage_fix1_result.tsv
NO	03_需求与设计/02_开发计划/TASK-Z032B-06-COMMIT-CAND001_提交结果报告.md
NO	03_需求与设计/02_开发计划/task_z032b_06_cand001_commit_result.json
NO	03_需求与设计/02_开发计划/task_z032b_06_cand001_commit_result.tsv
NO	03_需求与设计/02_开发计划/TASK-Z032B-07-ARCHIVE-CAND001_归档确认报告.md
NO	03_需求与设计/02_开发计划/task_z032b_07_cand001_archive_result.json
NO	03_需求与设计/02_开发计划/task_z032b_07_cand001_archive_result.tsv
NO	07_后端/lingyi_service/tests/test_audit_log.py
NO	03_需求与设计/02_开发计划/TASK-Z032B-*-CAND003*
NO	03_需求与设计/02_开发计划/task_z032b_*_cand003_*
NO	03_需求与设计/02_开发计划/TASK-Z032B-*-CAND004*
NO	03_需求与设计/02_开发计划/task_z032b_*_cand004_*
NO	03_需求与设计/02_开发计划/TASK-Z032B-*-CAND005*
NO	03_需求与设计/02_开发计划/task_z032b_*_cand005_*
NO	06_前端/
NO	07_后端/lingyi_service/app/
NO	00_交接与日志/HANDOVER_STATUS.md
NO	03_需求与设计/01_架构设计/架构师会话日志.md
NO	03_需求与设计/02_开发计划/工程师会话日志.md
NO	06_前端/lingyi-pc/src/views/cross_module/CrossModuleView.vue
NO	06_前端/lingyi-pc/src/views/production/ProductionPlanList.vue
NO	06_前端/lingyi-pc/src/views/quality/QualityInspectionDetail.vue
NO	06_前端/lingyi-pc/src/views/quality/QualityInspectionList.vue
NO	06_前端/lingyi-pc/src/views/sales_inventory/SalesInventorySalesOrderDetail.vue
NO	06_前端/lingyi-pc/src/views/sales_inventory/SalesInventorySalesOrderList.vue
NO	07_后端/lingyi_service/app/schemas/report.py
NO	07_后端/lingyi_service/app/services/report_catalog_service.py
NO	07_后端/lingyi_service/app/services/system_config_catalog_service.py
NO	07_后端/lingyi_service/tests/test_bom_permissions.py
NO	07_后端/lingyi_service/tests/test_logging_sanitization.py
NO	07_后端/lingyi_service/tests/test_permission_governance_audit_export.py
NO	07_后端/lingyi_service/tests/test_request_id_sanitization.py
NO	07_后端/lingyi_service/tests/test_style_profit_api.py
NO	07_后端/lingyi_service/tests/test_subcontract_company_permission.py
NO	07_后端/lingyi_service/tests/test_workshop_permissions.py
NO	03_需求与设计/02_开发计划/TASK-Z015..Z031-*
NO	03_需求与设计/02_开发计划/task_z015b..task_z031b_*
NO	.pytest_cache/
NO	07_后端/lingyi_service/.pytest_cache/
NO	runtime/cache/
NO	07_后端/lingyi_service.local.db
NO	07_后端/lingyi_service/not_local_dev_gate.db
