path	decision	reason
03_需求与设计/02_开发计划/TASK-Z028B-11-PREP_CAND002边界冻结报告.md	YES	B11 boundary report
03_需求与设计/02_开发计划/task_z028b_11_cand002_boundary.json	YES	B11 boundary json
03_需求与设计/02_开发计划/task_z028b_11_cand002_boundary.tsv	YES	B11 boundary tsv
03_需求与设计/02_开发计划/TASK-Z028B-12-IMPL_CAND002单文件验证报告.md	YES	B12 result report
03_需求与设计/02_开发计划/task_z028b_12_cand002_result.json	YES	B12 result json
03_需求与设计/02_开发计划/task_z028b_12_cand002_result.tsv	YES	B12 result tsv
03_需求与设计/02_开发计划/task_z028b_12_cand002_stdout.txt	YES	B12 stdout
03_需求与设计/02_开发计划/TASK-Z028B-13-PREP-CAND002-FAILURE-DIAG_失败定位报告.md	YES	B13 failure diag report
03_需求与设计/02_开发计划/task_z028b_13_cand002_failure_boundary.json	YES	B13 failure boundary json
03_需求与设计/02_开发计划/task_z028b_13_cand002_failure_boundary.tsv	YES	B13 failure boundary tsv
03_需求与设计/02_开发计划/TASK-Z028B-14-FIX-CAND002_factory_statement_idempotency修复报告.md	YES	B14 fix report
03_需求与设计/02_开发计划/task_z028b_14_cand002_fix_result.json	YES	B14 fix result json
03_需求与设计/02_开发计划/task_z028b_14_cand002_fix_result.tsv	YES	B14 fix result tsv
03_需求与设计/02_开发计划/task_z028b_14_cand002_fix_stdout.txt	YES	B14 stdout
03_需求与设计/02_开发计划/TASK-Z028B-15-LEDGER-CAND002_factory_statement_idempotency提交候选账本报告.md	YES	B15 report
03_需求与设计/02_开发计划/task_z028b_15_cand002_freeze.json	YES	B15 freeze json
03_需求与设计/02_开发计划/task_z028b_15_cand002_ledger.json	YES	B15 ledger json
03_需求与设计/02_开发计划/task_z028b_15_cand002_ledger.tsv	YES	B15 ledger tsv
07_后端/lingyi_service/tests/test_factory_statement_idempotency.py	YES	only allowed backend test file
00_交接与日志/HANDOVER_STATUS.md	NO	historical dirty forbidden path
03_需求与设计/01_架构设计/架构师会话日志.md	NO	historical dirty forbidden path
03_需求与设计/02_开发计划/工程师会话日志.md	NO	historical dirty forbidden path
06_前端/lingyi-pc/src/views/cross_module/CrossModuleView.vue	NO	historical dirty forbidden path
06_前端/lingyi-pc/src/views/production/ProductionPlanList.vue	NO	historical dirty forbidden path
06_前端/lingyi-pc/src/views/quality/QualityInspectionDetail.vue	NO	historical dirty forbidden path
06_前端/lingyi-pc/src/views/quality/QualityInspectionList.vue	NO	historical dirty forbidden path
06_前端/lingyi-pc/src/views/sales_inventory/SalesInventorySalesOrderDetail.vue	NO	historical dirty forbidden path
06_前端/lingyi-pc/src/views/sales_inventory/SalesInventorySalesOrderList.vue	NO	historical dirty forbidden path
07_后端/lingyi_service/app/schemas/report.py	NO	historical dirty forbidden path
07_后端/lingyi_service/app/services/report_catalog_service.py	NO	historical dirty forbidden path
07_后端/lingyi_service/app/services/system_config_catalog_service.py	NO	historical dirty forbidden path
07_后端/lingyi_service/tests/test_bom_permissions.py	NO	historical dirty forbidden path
07_后端/lingyi_service/tests/test_logging_sanitization.py	NO	historical dirty forbidden path
07_后端/lingyi_service/tests/test_permission_governance_audit_export.py	NO	historical dirty forbidden path
07_后端/lingyi_service/tests/test_request_id_sanitization.py	NO	historical dirty forbidden path
07_后端/lingyi_service/tests/test_style_profit_api.py	NO	historical dirty forbidden path
07_后端/lingyi_service/tests/test_subcontract_company_permission.py	NO	historical dirty forbidden path
07_后端/lingyi_service/tests/test_workshop_permissions.py	NO	historical dirty forbidden path
03_需求与设计/02_开发计划/TASK-Z028B-01-PREP_Z028本地候选池冻结报告.md	NO	Z028 candidate pool
03_需求与设计/02_开发计划/task_z028b_01_candidate_pool.json	NO	Z028 candidate pool
03_需求与设计/02_开发计划/task_z028b_01_candidate_pool.tsv	NO	Z028 candidate pool
03_需求与设计/02_开发计划/TASK-Z028B-10-PREP_Z028剩余候选刷新报告.md	NO	B10 refresh
03_需求与设计/02_开发计划/task_z028b_10_remaining_refresh.json	NO	B10 refresh
03_需求与设计/02_开发计划/task_z028b_10_remaining_refresh.tsv	NO	B10 refresh
03_需求与设计/02_开发计划/TASK-Z028B-02-PREP_CAND001边界冻结报告.md	NO	CAND001 evidence
03_需求与设计/02_开发计划/task_z028b_02_cand001_boundary.json	NO	CAND001 evidence
03_需求与设计/02_开发计划/task_z028b_02_cand001_boundary.tsv	NO	CAND001 evidence
03_需求与设计/02_开发计划/TASK-Z028B-03-IMPL_CAND001单文件验证报告.md	NO	CAND001 evidence
03_需求与设计/02_开发计划/task_z028b_03_cand001_result.json	NO	CAND001 evidence
03_需求与设计/02_开发计划/task_z028b_03_cand001_result.tsv	NO	CAND001 evidence
03_需求与设计/02_开发计划/task_z028b_03_cand001_stdout.txt	NO	CAND001 evidence
03_需求与设计/02_开发计划/TASK-Z028B-04-PREP-CAND001-FAILURE-DIAG_失败定位报告.md	NO	CAND001 evidence
03_需求与设计/02_开发计划/task_z028b_04_cand001_failure_boundary.json	NO	CAND001 evidence
03_需求与设计/02_开发计划/task_z028b_04_cand001_failure_boundary.tsv	NO	CAND001 evidence
