field	value
task_id	TASK-Z028B-05-FIX-CAND001-SCOPE-DIAG
candidate_id	Z028-CAND-001
blocked_audit_task	TASK-Z028B-05-FIX-CAND001
current_head	abe758cebfa5c3affde9e3632692402227ec80c0
cached_empty	true
b05_result_summary	2 passed, 10 warnings in 1.10s
b05_command_run_count	1
b05_exit_code	0
b05_result	PASS
tracked_dirty_count	20
allowed_current_candidate_count	1
b05_evidence_count	4
unrelated_historical_dirty_count	19
forbidden_dirty_present_but_unstaged	true
frontend_dirty_count	6
backend_app_dirty_count	3
shared_engineer_log_dirty_count	2
unrelated_test_dirty_count	7
other_dirty_count	1
target_test_assertions_preserved	true
skip_xfail_deleted_cases	false
classification	B05_SCOPE_ISOLATED_WITH_PREEXISTING_DIRTY
allowed_next_task	TASK-Z028B-06-LEDGER-CAND001
git_diff_cached_name_only	[]
git_diff_check_pass	true
stage_performed	false
commit_performed	false
push_performed	false
tag_performed	false
pr_performed	false
release_performed	false
remote_lifecycle_parked	true
production_readback_ready	false
go_live_ready	false
project_completion_claimed	false
