section	key	value
summary	head	5d4220f04c909e9a6d8189b3491630d6e575e1d7
summary	branch	codex/sprint4-seal
summary	regression_only	true
summary	code_modified_in_this_task	false
summary	changed_files	06_前端/lingyi-pc/src/views/subcontract/SubcontractOrderList.vue|06_前端/lingyi-pc/src/views/subcontract/SubcontractOrderDetail.vue|07_后端/lingyi_service/app/local_dev.py
summary	local_mvp_loop_complete	true
summary	data_classification	test_data
summary	next_task	TASK-MVP-B043-LEDGER-CAND005
evidence	route_material_purchase_process	200->/subcontract/list?parity=material-purchase
evidence	route_subcontract_list_parity	200->/subcontract/list?parity=material-purchase
evidence	route_subcontract_detail	200->/subcontract/detail
evidence	screenshot_list	03_需求与设计/02_开发计划/evidence/mvp_b042_cand005_purchase_regression/subcontract_list_parity_1440x1200.png
evidence	screenshot_detail	03_需求与设计/02_开发计划/evidence/mvp_b042_cand005_purchase_regression/subcontract_detail_1440x1200.png
evidence	screenshot_dimensions	1440x1200
evidence	redirect_parity_evidence	/materialPurchase/materialPurchaseProcess->/subcontract/list?parity=material-purchase
evidence	redirect_parity_evidence_file	03_需求与设计/02_开发计划/evidence/mvp_b042_cand005_purchase_regression/route_probe.json
evidence	dom_anchors_observed	12/12
evidence	scenario_tag	MVP-CAND005-REG-1780216107714
evidence	save_success	true
evidence	draft_id_created	true
evidence	material_line_saved	true
evidence	issue_return_or_inspection_saved	true
evidence	cancel_success	true
evidence	readback_success	true
evidence	rollback_success	true
evidence	zero_residual_success	true
evidence	residual_records_after_rollback	0
data_boundary	data_classification	test_data
data_boundary	test_data_used	true
data_boundary	seed_data_used	false
data_boundary	not_future_production_data	true
data_boundary	sqlite_not_formal_database	true
data_boundary	sqlite_direct_reuse_for_production_forbidden	true
data_boundary	future_seed_data_migration_required	true
data_boundary	seed_data_json_csv_export_available	false
data_boundary	real_purchase_subcontract_inventory_finance_data_migration_forbidden	true
data_boundary	real_inventory_finance_production_records_migrated	false
data_boundary	real_stock_in_out_records_migrated	false
network	auth_401_on_local_sqlite_write_loop	false
network	write_requests_observed_count	3
network	write_requests_only_local_dev_purchase_subcontract_endpoints	true
network	production_write_requests	0
network	erpnext_production_write_requests	0
network	erpnext_production_connected	false
network	real_production_account_used	false
typecheck	command	npm run typecheck
typecheck	workdir	06_前端/lingyi-pc
typecheck	exit_code	0
services	dev_server_started	true
services	dev_server_stopped	true
services	local_dev_started	true
services	local_dev_stopped	true
scope_guard	authorized_changed_files_only	true
scope_guard	local_dev_py_status	tracked_modified_preexisting_not_touched_in_b042
scope_guard	forbidden_paths_touched	[]
scope_guard	dirty_intersections	[]
scope_guard	unknown_dirty	[]
scope_guard	must_block_before_continue	[]
scope_guard	git_diff_check	PASS
scope_guard	cached_empty	true
residual_risk	remote_lifecycle_parked	true
residual_risk	production_readback	false
residual_risk	go_live	false
residual_risk	project_completion	false
