order	task_id	candidate_id	evidence_type	path	commit_hash	status	residual_risk	source_head	selected_candidate_id	runtime_request_count	write_request_count	production_account_used	remote_lifecycle_action_executed
1	TASK-Z006B-03-IMPL	Z006-CAND-002	warehouse_adapter_contract_fixture	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z006B-03-IMPL_warehouse_adapter_contract_fixture最小实现与回归报告.md	5236ec2cb3924baf742b8dd946fae7320e3ba5c6	LOCAL_CLOSED	not_equal_to_production_erpnext_non_fallback_readback	14fad50ee9c6602bc417ae5692aa0a24bf525433	Z007-CAND-011-PROPOSED	0	0	False	False
2	TASK-Z006B-09-IMPL	Z006-CAND-003	warehouse_permission_mode_readback_matrix	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z006B-09-IMPL_warehouse_permission_mode_readback_matrix最小实现与回归报告.md	ec2205b47d5ea180719bcd19c279e06871f172e8	LOCAL_CLOSED	depends_on_local_static_fallback_scope	14fad50ee9c6602bc417ae5692aa0a24bf525433	Z007-CAND-011-PROPOSED	0	0	False	False
3	TASK-Z006B-21-IMPL	Z006-CAND-005	ui_business_evidence_readonly_capture	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z006B-21-IMPL_ui_business_evidence_readonly_capture执行与回归报告.md	7ae7867bb62e846d644dab556df08f8bd4268611	LOCAL_CLOSED_WITH_RESIDUAL_RISKS	not_equal_to_production_readback_or_go_live	14fad50ee9c6602bc417ae5692aa0a24bf525433	Z007-CAND-011-PROPOSED	0	0	False	False
4	TASK-Z007B-05-IMPL	Z007-CAND-001	bom_draft_residual_rollback	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z007B-05-IMPL_BOM草稿残留回滚最小执行与回归报告.md	48892f2fa01622587b931ef58117654505575478	LOCAL_CLOSED	zero_residual_scope_is_no_new_active_or_draft_only	14fad50ee9c6602bc417ae5692aa0a24bf525433	Z007-CAND-011-PROPOSED	0	0	False	False
5	TASK-Z007B-11-IMPL	Z007-CAND-001-S1	g1_full_base_objects_chain	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z007B-11-IMPL_G1完整基础对象前置链路最小实现与回归报告.md	d8bfad7aaed847f324de9bbda131d701b28f124e	LOCAL_CLOSED_WITH_RESIDUAL_RISKS	customer_endpoint_503_risk_recorded	14fad50ee9c6602bc417ae5692aa0a24bf525433	Z007-CAND-011-PROPOSED	0	0	False	False
6	TASK-Z007B-21-IMPL	Z007-CAND-002	route_parity_readonly_endpoint_expansion	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z007B-21-IMPL_路由1比1readonly端点扩边复测与回归报告.md	52febae283660b643153ff65aef81eef6723092e	LOCAL_CLOSED_WITH_RESIDUAL_RISKS	allowed_read_not_hit_runtime_partial	14fad50ee9c6602bc417ae5692aa0a24bf525433	Z007-CAND-011-PROPOSED	0	0	False	False
7	TASK-Z007B-31-IMPL	Z007-CAND-003	ui_business_evidence_second_readonly_expansion	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z007B-31-IMPL_UI业务证据第二轮readonly扩边复测执行与回归报告.md	0792e2972b9d4229392b3164462b03fd3e5bb12b	LOCAL_CLOSED_WITH_RESIDUAL_RISKS	detail_pages_need_list_discovered_id_and_fallback_not_closed	14fad50ee9c6602bc417ae5692aa0a24bf525433	Z007-CAND-011-PROPOSED	0	0	False	False
8	TASK-Z007B-37-IMPL	Z007-CAND-004	adapter_fixture_contract_extension	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z007B-37-IMPL_本地adapter_fixture_contract扩展最小实现与回归报告.md	fa5b8b036fd421ea8fe70af04dc7610def8b659f	LOCAL_CLOSED_WITH_RESIDUAL_RISKS	not_equal_to_production_erpnext_non_fallback_readback	14fad50ee9c6602bc417ae5692aa0a24bf525433	Z007-CAND-011-PROPOSED	0	0	False	False
9	TASK-Z007B-43-IMPL	Z007-CAND-004-S1	style_mapping_readback	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z007B-43-IMPL_style字段readback映射最小实现与回归报告.md	e8ddb2a93b90f333a91435b811d6c1c5a408e8d9	LOCAL_CLOSED	style_mapping_only_local_readonly_contract_scope	14fad50ee9c6602bc417ae5692aa0a24bf525433	Z007-CAND-011-PROPOSED	0	0	False	False
10	TASK-Z007B-49-IMPL	Z007-CAND-009-PROPOSED	production_blocker_local_evidence_matrix	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z007B-49-IMPL_Z007生产阻断项本地证据矩阵执行与回归报告.md	e8ddb2a93b90f333a91435b811d6c1c5a408e8d9	LOCAL_EVIDENCE_REDUCED	hard_external_dependencies_remain_for_005_006_007_008	14fad50ee9c6602bc417ae5692aa0a24bf525433	Z007-CAND-011-PROPOSED	0	0	False	False
11	TASK-Z007B-52-IMPL	Z007-CAND-009-PROPOSED	production_readonly_access_packet_template	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z007B-52-IMPL_生产只读访问包与远端授权清单模板生成报告.md	75e07d216d5bcb4e30fcc3fb3e91aa1ba3ec3ba7	LOCAL_CLOSED_WITH_EXTERNAL_BLOCKERS	requires_production_readonly_and_remote_authorization_to_finalize	14fad50ee9c6602bc417ae5692aa0a24bf525433	Z007-CAND-011-PROPOSED	0	0	False	False
