section	key	value
summary	status	DONE
summary	task_id	TASK-YISUAN-1TO1-B039-REGRESSION-CAND005
summary	role	B Engineer
summary	head	a078e5c24c220b45a37a7f690e6f3070a4265a08
summary	branch	codex/sprint4-seal
summary	next_task	TASK-YISUAN-1TO1-B040-LEDGER-CAND005
regression	code_modified_in_this_task	false
regression	changed_files	06_前端/lingyi-pc/src/views/subcontract/SubcontractOrderList.vue|06_前端/lingyi-pc/src/views/subcontract/SubcontractOrderDetail.vue|06_前端/lingyi-pc/src/views/sales_inventory/SalesInventoryStockLedger.vue|06_前端/lingyi-pc/src/views/warehouse/WarehouseDashboard.vue
regression	forbidden_paths_touched	[]
route	/materialPurchase/materialPurchaseProcess	200|/subcontract/list?parity=material-purchase
route	/subcontract/list	200|/subcontract/list
route	/subcontract/detail	200|/subcontract/detail
route	/sales-inventory/stock-ledger	200|/sales-inventory/stock-ledger
route	/warehouse	200|/warehouse
screenshot	material_purchase_parity	03_需求与设计/02_开发计划/evidence/yisuan_1to1_b039_regression_cand005/material_purchase_parity_1440x1200.png|1440x1200
screenshot	subcontract_list	03_需求与设计/02_开发计划/evidence/yisuan_1to1_b039_regression_cand005/subcontract_list_1440x1200.png|1440x1200
screenshot	subcontract_detail	03_需求与设计/02_开发计划/evidence/yisuan_1to1_b039_regression_cand005/subcontract_detail_1440x1200.png|1440x1200
screenshot	stock_ledger	03_需求与设计/02_开发计划/evidence/yisuan_1to1_b039_regression_cand005/stock_ledger_1440x1200.png|1440x1200
screenshot	warehouse	03_需求与设计/02_开发计划/evidence/yisuan_1to1_b039_regression_cand005/warehouse_1440x1200.png|1440x1200
ui_source	source_status	found
ui_source	unified_contract_available	true
ui_source	ui_source_readback_present	true
ui_source	a001_a006_business_contract_merged	false
dom	anchors_observed	12/12
dom	contract_source	B037_PREP
network	write_requests_observed_count	0
network	production_write_requests	0
network	erpnext_production_write_requests	0
network	real_production_account_used	false
network	auth_401_count	0
network	request_methods_summary	GET
typecheck	command	npm run typecheck
typecheck	workdir	06_前端/lingyi-pc
typecheck	exit_code	0
attribution	capture_method	inline_node_script_plus_playwright
attribution	temp_script_file_persisted	false
boundary	data_classification	ui_parity_no_write
boundary	test_data_used	false
boundary	seed_data_used	false
boundary	sqlite_not_formal_database	true
boundary	erpnext_production_connected	false
boundary	real_production_account_used	false
guard	dirty_intersections	[]
guard	unknown_dirty	[]
guard	must_block_before_continue	[]
