field	value
TASK_ID	TASK-YISUAN-REALOBJ-B027-FIX1-MAIN-PATCH-UPDATE
ROLE	B Engineer
HEAD	33444051168fc8c2939e8c2241dd840fb53f0b4e
branch	codex/sprint4-seal
cached_count	0
HEAD_tag_count	0
allowed_files_match	true
forbidden_paths_touched	[]
changed_files	06_前端/lingyi-pc/src/views/subcontract/SubcontractOrderList.vue|06_前端/lingyi-pc/src/views/subcontract/SubcontractOrderDetail.vue|07_后端/lingyi_service/app/local_dev.py|03_需求与设计/02_开发计划/evidence/yisuan_realobj_b027_fix1_main_patch_update/*
scenario_tag	REALOBJ-CAND004-B027-FIX1-20260601-002
main_patch_endpoint	PATCH /api/local-dev/subcontract/orders/:id
main_patch_request_observed	true
main_update_not_replaced_by_second_post	true
settlement_preview_patch_endpoint	PATCH /api/local-dev/subcontract/orders/:id/settlement-preview
routes_http_200	/materialPurchase/materialPurchaseProcess|/subcontract/list?parity=material-purchase|/subcontract/detail
material_purchase_final_path	/subcontract/list?parity=material-purchase
route_probe_file	03_需求与设计/02_开发计划/evidence/yisuan_realobj_b027_fix1_main_patch_update/route_probe.json
screenshot_count	3
all_png_1440x1200	true
screenshot_evidence_file	03_需求与设计/02_开发计划/evidence/yisuan_realobj_b027_fix1_main_patch_update/screenshot_evidence.json
create_request_observed	true
main_patch_request_observed_local_dev	true
settlement_preview_patch_request_observed	true
rollback_request_observed	true
all_local_dev_purchase_subcontract_write_statuses_success	true
local_dev_endpoint_evidence_file	03_需求与设计/02_开发计划/evidence/yisuan_realobj_b027_fix1_main_patch_update/local_dev_endpoint_evidence.json
write_requests_observed_count	4
write_requests_only_local_dev_purchase_subcontract_endpoints	true
required_write_requests_observed	POST /api/local-dev/subcontract/orders|PATCH /api/local-dev/subcontract/orders/:id|PATCH /api/local-dev/subcontract/orders/:id/settlement-preview|POST /api/local-dev/subcontract/orders/:id/rollback
production_write_requests	0
erpnext_production_write_requests	0
real_production_account_used	false
network_write_evidence_file	03_需求与设计/02_开发计划/evidence/yisuan_realobj_b027_fix1_main_patch_update/network_write_evidence.json
scenario_tag_present	true
create_success	true
update_success	true
local_object_id_created	true
readback_after_main_patch_success	true
subcontract_or_purchase_readback_success	true
material_line_readback_success	true
issue_return_or_inspection_readback_success	true
settlement_preview_readback_success	true
settlement_preview_status_observed	true
settlement_preview_amount_or_summary_observed	true
settlement_preview_real_finance_effect	false
settlement_preview_real_payment_effect	false
settlement_preview_real_inventory_effect	false
cancel_or_rollback_success	true
settlement_preview_included_in_rollback	true
zero_residual	true
residual_records	0
local_object_loop_evidence_file	03_需求与设计/02_开发计划/evidence/yisuan_realobj_b027_fix1_main_patch_update/local_object_loop_evidence.json
rollback_zero_residual_evidence_file	03_需求与设计/02_开发计划/evidence/yisuan_realobj_b027_fix1_main_patch_update/rollback_zero_residual_evidence.json
typecheck_command	npm run typecheck
typecheck_workdir	06_前端/lingyi-pc
typecheck_exit_code	0
typecheck_evidence_file	03_需求与设计/02_开发计划/evidence/yisuan_realobj_b027_fix1_main_patch_update/typecheck_result.json
dev_server_started	true
dev_server_stopped	true
local_dev_server_started	true
local_dev_server_stopped	true
server_lifecycle_evidence_file	03_需求与设计/02_开发计划/evidence/yisuan_realobj_b027_fix1_main_patch_update/server_lifecycle_evidence.json
git_diff_check	PASS
git_diff_cached_check	PASS
data_classification	local_real_object_test_data_only
test_data_used	true
seed_data_used	false
scenario_tag_required	true
rollback_required	true
zero_residual_required	true
sqlite_is_formal_db	false
not_future_production_data	true
production_readback	false
go_live	false
project_completion	false
remote_lifecycle_parked	true
NEXT_ROLE	C Auditor
