"field"	"value"
"status"	"PASS"
"task_id"	"TASK-Z046B-20-REGRESSION-CAND003"
"head"	"e1c6741bcc4e1c3108cbe10b6b0eacd76e43e829"
"branch"	"codex/sprint4-seal"
"code_modified_in_this_task"	"false"
"changed_files"	"06_前端/lingyi-pc/src/views/workshop/WorkshopTicketBatch.vue"
"api_workshop_touched"	"false"
"backend_api_added"	"false"
"real_write_action_added"	"false"
"read_only_boundary_preserved"	"true"
"route"	"/workshop/tickets/batch"
"http_status"	"200"
"final_path"	"/workshop/tickets/batch"
"screenshot"	"04_测试与验收/测试证据/z046_cand003_workshop_batch_interaction_regression/workshop_batch_page_1440x1200.png"
"dom_anchors_observed"	"8/8"
"guarded_observed"	"3/3"
"auth_401_count"	"1"
"write_requests_observed_count"	"0"
"write_request_success_observed"	"false"
"write_request_success_allowed"	"false"
"typecheck_exit_code"	"0"
"stage_performed"	"false"
"commit_performed"	"false"
"remote_lifecycle_released"	"false"
"next_task"	"TASK-Z046B-21-LEDGER-CAND003"
