field	value
TASK_ID	TASK-YISUAN-CONTRACT-B027-IMPL-CAND004
HEAD	cc386563111c0b648d29236264f66af12b5029b5
branch	codex/sprint4-seal
cached_count	0
HEAD_tag_count	0
changed_files	06_前端/lingyi-pc/src/views/subcontract/SubcontractOrderList.vue|06_前端/lingyi-pc/src/views/subcontract/SubcontractOrderDetail.vue
allowed_files_match	true
forbidden_paths_touched	[]
routes_http_200	/materialPurchase/materialPurchaseProcess:200|/subcontract/list?parity=material-purchase:200|/subcontract/detail:200
material_purchase_parity_final_path	/subcontract/list?parity=material-purchase
screenshots_1440x1200	material_purchase_parity_1440x1200.png|subcontract_list_parity_1440x1200.png|subcontract_detail_1440x1200.png
covered_contract_ids	A002|A004|A006
contract_source_readback_present	true
key_fields_observed	true
validation_rules_observed	true
status_rules_observed	true
readonly_readback_observed	true
unknown_blocked_fields_preserved	true
unknown_blocked_fields_claimed_as_confirmed	false
popup_or_disabled_boundary	true
popup_or_disabled_real_action_triggered	false
not_claimed_as_business_action	true
write_requests_observed_count	0
production_write_requests	0
erpnext_production_write_requests	0
real_production_account_used	false
real_business_object_created	false
linked_calculation_enabled	false
typecheck_command	npm run typecheck
typecheck_workdir	06_前端/lingyi-pc
typecheck_exit_code	0
dev_server_started	true
dev_server_stopped	true
git_diff_check	PASS
dirty_intersections	[]
unknown_dirty	[]
must_block_before_continue	[]
data_classification	contract_merge_no_real_object
seed_data_used	false
sqlite_not_formal_database	true
sqlite_direct_reuse_for_production_forbidden	true
erpnext_production_connected	false
production_readback	false
go_live	false
project_completion	false
remote_lifecycle_parked	true
NEXT_ROLE	C Auditor
