name	status
B17 C PASS checked	PASS
selected_candidate_id is Z014-CAND-013	PASS
route_hit_count is 1/1	PASS
screenshot_count is 4	PASS
screenshot paths exist	PASS
request_methods only GET	PASS
write_request_count is 0	PASS
unexpected_write_request_count is 0	PASS
forbidden_request_count is 0	PASS
blocking_console_error_count is 0	PASS
blocking_response_error_count is 0	PASS
network_error_count is 0	PASS
export/download/print/sync not called	PASS
expected non-blocking errors recorded separately	PASS
warehouse page anchor exists	PASS
filters and KPI anchors exist	PASS
guarded action anchors exist	PASS
