kind	path
YES	03_需求与设计/02_开发计划/TASK-Z031B-29-PREP_CAND004只读验证边界报告.md
YES	03_需求与设计/02_开发计划/task_z031b_29_cand004_boundary.json
YES	03_需求与设计/02_开发计划/task_z031b_29_cand004_boundary.tsv
YES	03_需求与设计/02_开发计划/TASK-Z031B-30-IMPL_CAND004单文件验证报告.md
YES	03_需求与设计/02_开发计划/task_z031b_30_cand004_result.json
YES	03_需求与设计/02_开发计划/task_z031b_30_cand004_result.tsv
YES	03_需求与设计/02_开发计划/task_z031b_30_cand004_stdout.txt
YES	03_需求与设计/02_开发计划/TASK-Z031B-31-PREP-CAND004-FAILURE-DIAG_失败定位边界报告.md
YES	03_需求与设计/02_开发计划/task_z031b_31_cand004_failure_boundary.json
YES	03_需求与设计/02_开发计划/task_z031b_31_cand004_failure_boundary.tsv
YES	03_需求与设计/02_开发计划/TASK-Z031B-32-FIX-CAND004_修复验证报告.md
YES	03_需求与设计/02_开发计划/task_z031b_32_cand004_fix_result.json
YES	03_需求与设计/02_开发计划/task_z031b_32_cand004_fix_result.tsv
YES	03_需求与设计/02_开发计划/task_z031b_32_cand004_fix_stdout.txt
YES	03_需求与设计/02_开发计划/TASK-Z031B-33-LEDGER-CAND004_提交候选账本冻结报告.md
YES	03_需求与设计/02_开发计划/task_z031b_33_cand004_freeze.json
YES	03_需求与设计/02_开发计划/task_z031b_33_cand004_ledger.json
YES	03_需求与设计/02_开发计划/task_z031b_33_cand004_ledger.tsv
YES	07_后端/lingyi_service/tests/test_subcontract_inspection.py
NO	03_需求与设计/02_开发计划/TASK-Z031B-01-PREP_Z031本地候选池重建报告.md
NO	03_需求与设计/02_开发计划/task_z031b_01_candidate_pool.json
NO	03_需求与设计/02_开发计划/task_z031b_01_candidate_pool.tsv
NO	03_需求与设计/02_开发计划/TASK-Z031B-07-ARCHIVE-CAND001_归档确认报告.md
NO	03_需求与设计/02_开发计划/task_z031b_07_cand001_archive_result.json
NO	03_需求与设计/02_开发计划/task_z031b_07_cand001_archive_result.tsv
NO	03_需求与设计/02_开发计划/TASK-Z031B-14-ARCHIVE-CAND002_归档确认报告.md
NO	03_需求与设计/02_开发计划/task_z031b_14_cand002_archive_result.json
NO	03_需求与设计/02_开发计划/task_z031b_14_cand002_archive_result.tsv
NO	03_需求与设计/02_开发计划/TASK-Z031B-27-ARCHIVE-CAND003_归档确认报告.md
NO	03_需求与设计/02_开发计划/task_z031b_27_cand003_archive_result.json
NO	03_需求与设计/02_开发计划/task_z031b_27_cand003_archive_result.tsv
NO	07_后端/lingyi_service/tests/test_quality_export_enhanced.py
NO	07_后端/lingyi_service/tests/test_style_profit_api_errors.py
NO	07_后端/lingyi_service/tests/test_warehouse_stock_entry_draft.py
NO	00_交接与日志/HANDOVER_STATUS.md
NO	03_需求与设计/01_架构设计/架构师会话日志.md
NO	03_需求与设计/02_开发计划/工程师会话日志.md
NO	06_前端/lingyi-pc/src/views/cross_module/CrossModuleView.vue
NO	06_前端/lingyi-pc/src/views/production/ProductionPlanList.vue
NO	06_前端/lingyi-pc/src/views/quality/QualityInspectionDetail.vue
NO	06_前端/lingyi-pc/src/views/quality/QualityInspectionList.vue
NO	06_前端/lingyi-pc/src/views/sales_inventory/SalesInventorySalesOrderDetail.vue
NO	06_前端/lingyi-pc/src/views/sales_inventory/SalesInventorySalesOrderList.vue
NO	07_后端/lingyi_service/app/schemas/report.py
NO	07_后端/lingyi_service/app/services/report_catalog_service.py
NO	07_后端/lingyi_service/app/services/system_config_catalog_service.py
NO	07_后端/lingyi_service/tests/test_bom_permissions.py
NO	07_后端/lingyi_service/tests/test_logging_sanitization.py
NO	07_后端/lingyi_service/tests/test_permission_governance_audit_export.py
NO	07_后端/lingyi_service/tests/test_request_id_sanitization.py
NO	07_后端/lingyi_service/tests/test_style_profit_api.py
NO	07_后端/lingyi_service/tests/test_subcontract_company_permission.py
NO	07_后端/lingyi_service/tests/test_workshop_permissions.py
NO	06_前端
NO	07_后端/lingyi_service/app
NO	03_需求与设计/02_开发计划/task_z030b_49_final_freeze.json
NO	03_需求与设计/02_开发计划/task_z029b_45_final_freeze.json
NO	runtime/cache
