record_type	key	value
summary	task_id	TASK-Z022B-36-IMPL-CAND004-FIX1
summary	source_task_id	TASK-Z022B-35-PREP-CAND004-FIX1
summary	selected_candidate_id	Z022-CAND-004
summary	workdir	/Users/hh/Desktop/领意服装管理系统/07_后端/lingyi_service
summary	command	.venv/bin/python -m pytest tests/test_quality_confirm_baseline.py -q
summary	command_run_count	1
summary	exit_code	1
summary	result	FAIL
summary	pytest_summary	2 failed, 1 warning in 1.16s
summary	stdout_log	03_需求与设计/02_开发计划/task_z022b_36_cand004_stdout.txt
summary	old_wrong_command_run	NO
failure	test_confirm_draft_success	expected=200;actual=422;missing=request_id|idempotency_key|scenario_tag|source_ref|inspection_ref|source_type|item_code|operation|result
failure	test_confirm_on_confirmed_or_cancelled_returns_409	expected=409;actual=422
