decision	path	reason
YES	03_需求与设计/02_开发计划/TASK-Z022B-10-PREP_Z022候选002本地只读验证边界冻结报告.md	Z022-CAND-002 B10 boundary report
YES	03_需求与设计/02_开发计划/task_z022b_10_candidate002_readonly_boundary.json	Z022-CAND-002 B10 boundary JSON
YES	03_需求与设计/02_开发计划/task_z022b_10_candidate002_readonly_boundary.tsv	Z022-CAND-002 B10 boundary TSV
YES	03_需求与设计/02_开发计划/TASK-Z022B-11-IMPL_Z022候选002quality-update-baseline证据采集报告.md	Z022-CAND-002 B11 initial evidence report
YES	03_需求与设计/02_开发计划/task_z022b_11_quality_update_baseline_result.json	Z022-CAND-002 B11 initial result JSON
YES	03_需求与设计/02_开发计划/task_z022b_11_quality_update_baseline_result.tsv	Z022-CAND-002 B11 initial result TSV
YES	03_需求与设计/02_开发计划/task_z022b_11_quality_update_baseline_stdout.txt	Z022-CAND-002 B11 initial stdout
YES	03_需求与设计/02_开发计划/TASK-Z022B-12-PREP_Z022候选002quality-update-baseline失败定位与边界冻结报告.md	Z022-CAND-002 B12 failure boundary report
YES	03_需求与设计/02_开发计划/task_z022b_12_quality_update_baseline_failure_boundary.json	Z022-CAND-002 B12 failure boundary JSON
YES	03_需求与设计/02_开发计划/task_z022b_12_quality_update_baseline_failure_boundary.tsv	Z022-CAND-002 B12 failure boundary TSV
YES	03_需求与设计/02_开发计划/TASK-Z022B-13-FIX_Z022候选002quality-update-baseline测试合同修复报告.md	Z022-CAND-002 B13 first fix report
YES	03_需求与设计/02_开发计划/task_z022b_13_quality_update_baseline_fix_result.json	Z022-CAND-002 B13 first fix result JSON
YES	03_需求与设计/02_开发计划/task_z022b_13_quality_update_baseline_fix_result.tsv	Z022-CAND-002 B13 first fix result TSV
YES	03_需求与设计/02_开发计划/task_z022b_13_quality_update_baseline_fix_stdout.txt	Z022-CAND-002 B13 first fix stdout
YES	03_需求与设计/02_开发计划/TASK-Z022B-14-PREP_Z022候选002quality-update-baseline二次失败定位与边界冻结报告.md	Z022-CAND-002 B14 second failure boundary report
YES	03_需求与设计/02_开发计划/task_z022b_14_quality_update_baseline_second_failure_boundary.json	Z022-CAND-002 B14 second failure boundary JSON
YES	03_需求与设计/02_开发计划/task_z022b_14_quality_update_baseline_second_failure_boundary.tsv	Z022-CAND-002 B14 second failure boundary TSV
YES	03_需求与设计/02_开发计划/TASK-Z022B-15-FIX-RETRY1_Z022候选002quality-update-baseline测试合同二次修复重做报告.md	Z022-CAND-002 B15 retry1 final fix report
YES	03_需求与设计/02_开发计划/task_z022b_15_retry1_quality_update_baseline_second_fix_result.json	Z022-CAND-002 B15 retry1 final fix result JSON
YES	03_需求与设计/02_开发计划/task_z022b_15_retry1_quality_update_baseline_second_fix_result.tsv	Z022-CAND-002 B15 retry1 final fix result TSV
YES	03_需求与设计/02_开发计划/task_z022b_15_retry1_quality_update_baseline_second_fix_stdout.txt	Z022-CAND-002 B15 retry1 final fix stdout
YES	03_需求与设计/02_开发计划/TASK-Z022B-16-LEDGER-RETRY1_Z022候选002quality-update-baseline提交候选账本冻结报告.md	Z022-CAND-002 B16 retry1 ledger report
YES	03_需求与设计/02_开发计划/task_z022b_16_retry1_quality_update_baseline_freeze.json	Z022-CAND-002 B16 retry1 freeze JSON
YES	03_需求与设计/02_开发计划/task_z022b_16_retry1_commit_candidate_ledger.json	Z022-CAND-002 B16 retry1 ledger JSON
YES	03_需求与设计/02_开发计划/task_z022b_16_retry1_commit_candidate_ledger.tsv	Z022-CAND-002 B16 retry1 ledger TSV
YES	03_需求与设计/02_开发计划/工程师会话日志.md	B Engineer log with Z022-CAND-002 B16 retry1 entry
YES	07_后端/lingyi_service/tests/test_quality_update_baseline.py	Only allowed Z022-CAND-002 test contract fix file
NO	06_前端/lingyi-pc/src/views/cross_module/CrossModuleView.vue	historical frontend dirty diff excluded
NO	06_前端/lingyi-pc/src/views/production/ProductionPlanList.vue	historical frontend dirty diff excluded
NO	06_前端/lingyi-pc/src/views/quality/QualityInspectionDetail.vue	historical frontend dirty diff excluded
NO	06_前端/lingyi-pc/src/views/quality/QualityInspectionList.vue	historical frontend dirty diff excluded
NO	06_前端/lingyi-pc/src/views/sales_inventory/SalesInventorySalesOrderDetail.vue	historical frontend dirty diff excluded
NO	06_前端/lingyi-pc/src/views/sales_inventory/SalesInventorySalesOrderList.vue	historical frontend dirty diff excluded
NO	07_后端/lingyi_service/app/schemas/report.py	historical backend app dirty diff excluded
NO	07_后端/lingyi_service/app/services/report_catalog_service.py	historical backend app dirty diff excluded
NO	07_后端/lingyi_service/app/services/system_config_catalog_service.py	historical backend app dirty diff excluded
NO	07_后端/lingyi_service/app/routers/quality.py	quality update business source evidence excluded from commit candidate
NO	07_后端/lingyi_service/app/services/quality_service.py	quality update business source evidence excluded from commit candidate
NO	07_后端/lingyi_service/app/schemas/quality.py	quality update business source evidence excluded from commit candidate
NO	07_后端/lingyi_service/tests/test_bom_permissions.py	historical unrelated test dirty diff excluded
NO	07_后端/lingyi_service/tests/test_logging_sanitization.py	historical unrelated test dirty diff excluded
NO	07_后端/lingyi_service/tests/test_permission_governance_audit_export.py	historical unrelated test dirty diff excluded
NO	07_后端/lingyi_service/tests/test_quality_create_baseline.py	Z022-CAND-001 non-candidate file excluded
NO	07_后端/lingyi_service/tests/test_quality_defect_baseline.py	Z022-CAND-003 defect baseline file excluded
NO	07_后端/lingyi_service/tests/test_request_id_sanitization.py	historical unrelated test dirty diff excluded
NO	07_后端/lingyi_service/tests/test_style_profit_api.py	historical unrelated test dirty diff excluded
NO	07_后端/lingyi_service/tests/test_subcontract_company_permission.py	historical unrelated test dirty diff excluded
NO	07_后端/lingyi_service/tests/test_workshop_permissions.py	historical unrelated test dirty diff excluded
NO	03_需求与设计/02_开发计划/task_z022b_08_quality_create_baseline_freeze.json	Z022-CAND-001 ledger artifact excluded
NO	03_需求与设计/02_开发计划/task_z022b_08_commit_candidate_ledger.json	Z022-CAND-001 ledger artifact excluded
NO	03_需求与设计/02_开发计划/TASK-Z022B-25-FIX_Z022候选003quality-defect-baseline测试合同二次修复报告.md	TASK-Z022B-25-FIX defect baseline artifact excluded
NO	03_需求与设计/02_开发计划/task_z022b_25_quality_defect_baseline_second_fix_result.json	TASK-Z022B-25-FIX defect baseline artifact excluded
NO	03_需求与设计/02_开发计划/task_z022b_25_quality_defect_baseline_second_fix_result.tsv	TASK-Z022B-25-FIX defect baseline artifact excluded
NO	03_需求与设计/02_开发计划/task_z022b_25_quality_defect_baseline_second_fix_stdout.txt	TASK-Z022B-25-FIX defect baseline artifact excluded
NO	03_需求与设计/02_开发计划/task_z022b_23_quality_defect_baseline_fix_result.json	Z022-CAND-003 defect baseline artifact excluded
NO	03_需求与设计/02_开发计划/task_z022b_24_quality_defect_baseline_second_failure_boundary.json	Z022-CAND-003 defect baseline artifact excluded
