field	value
TASK_ID	TASK-YISUAN-CONTRACT-B026-PREP-CAND004
HEAD	cc386563111c0b648d29236264f66af12b5029b5
branch	codex/sprint4-seal
cached_count	0
HEAD_tag_count	0
git_diff_check	PASS
selected_candidate	CONTRACT-CAND-004
covered_contract_ids	["A002","A004","A006"]
routes	["/materialPurchase/materialPurchaseProcess","/subcontract/list","/subcontract/detail"]
route_source_locations	{"/materialPurchase/materialPurchaseProcess":"06_前端/lingyi-pc/src/router/index.ts:269-270 -> /subcontract/list?parity=material-purchase","/subcontract/list":"06_前端/lingyi-pc/src/router/index.ts:63-65","/subcontract/detail":"06_前端/lingyi-pc/src/router/index.ts:69-71"}
allowed_files	["06_前端/lingyi-pc/src/views/subcontract/SubcontractOrderList.vue","06_前端/lingyi-pc/src/views/subcontract/SubcontractOrderDetail.vue"]
allowed_files_exist	true
allowed_files_clean	true
contract_sources	["04_测试与验收/测试证据/yisuan_business_shadow_capture/YISUAN_CAP_A002_business_contract_merge_20260520/yisuan_development_contract_input.json","04_测试与验收/测试证据/yisuan_business_shadow_capture/YISUAN_CAP_A004_quote_draft_field_status_readback_contract_20260520/quote_draft_development_input.json","04_测试与验收/测试证据/yisuan_business_shadow_capture/YISUAN_CAP_A006_order_page_static_field_button_nogo_contract_20260521/order_page_development_input.json"]
contract_sources_exist	true
optional_support_files	["07_后端/lingyi_service/app/local_dev.py"]
optional_support_status	["OK CLEAN 07_后端/lingyi_service/app/local_dev.py (read_only_support_only)"]
module_scope	采购/外协契约合并
business_contract_summary	采购 parity、外协列表/详情字段、草稿状态与只读按钮边界按 A002/A004/A006 合并
key_fields_inherited	true
validation_rules_inherited	true
status_rules_inherited	true
readonly_readback_rules_inherited	true
frozen_evidence_routes_http_200	["/materialPurchase/materialPurchaseProcess","/subcontract/list","/subcontract/detail"]
frozen_evidence_materialPurchase_final_path	/subcontract/list?parity=material-purchase
frozen_evidence_png_1440x1200	true
frozen_evidence_contract_source_readback_present	true
frozen_evidence_key_fields_observed	true
frozen_evidence_validation_rules_observed	true
frozen_evidence_status_rules_observed	true
frozen_evidence_readonly_readback_observed	true
frozen_evidence_partial_unknown_blocked_preserved	true
frozen_evidence_partial_unknown_blocked_claimed_as_confirmed	false
frozen_evidence_popup_or_disabled_real_action_triggered	false
frozen_evidence_write_requests_observed_count	0
frozen_evidence_production_write_requests	0
frozen_evidence_erpnext_production_write_requests	0
frozen_evidence_real_production_account_used	false
frozen_evidence_real_business_object_created	false
frozen_evidence_linked_calculation_enabled	false
frozen_evidence_typecheck_exit_code	0
frozen_evidence_dev_server_started_stopped	true
tracked_dirty_count	16
frontend_dirty_count	3
backend_or_test_dirty_count	10
log_control_dirty_count	3
dirty_intersections	[]
unknown_dirty	[]
must_block_before_continue	[]
implementation_allowed	true
next_task	TASK-YISUAN-CONTRACT-B027-IMPL-CAND004
data_classification	contract_merge_no_real_object
test_data_used	false
seed_data_used	false
sqlite_not_formal_database	true
sqlite_direct_reuse_for_production_forbidden	true
real_business_object_created	false
linked_calculation_enabled	false
erpnext_production_connected	false
real_production_account_used	false
production_readback	false
go_live	false
project_completion	false
remote_lifecycle_parked	true
prior_A005_A006_unknown_or_blocked_claimed_as_confirmed	false
prohibited_code_modified	false
prohibited_browser_typecheck_pytest_ran	false
prohibited_stage_commit_amend	false
prohibited_push_pr_tag_release	false
prohibited_reset_restore_clean_delete	false
residual_risk	仓库历史噪声较大；B027 需继续严格限于 2 个 allowed 前端文件并保持 A006 blocked/unknown/popup-only 边界
