path	decision	reason
03_需求与设计/02_开发计划/TASK-Z022B-02-PREP_Z022候选001本地只读验证边界冻结报告.md	YES	Z022-CAND-001 B02 boundary report
03_需求与设计/02_开发计划/task_z022b_02_candidate001_readonly_boundary.json	YES	Z022-CAND-001 B02 boundary JSON
03_需求与设计/02_开发计划/task_z022b_02_candidate001_readonly_boundary.tsv	YES	Z022-CAND-001 B02 boundary TSV
03_需求与设计/02_开发计划/TASK-Z022B-03-IMPL_Z022候选001quality-create-baseline证据采集报告.md	YES	Z022-CAND-001 B03 initial FAIL report
03_需求与设计/02_开发计划/task_z022b_03_quality_create_baseline_result.json	YES	Z022-CAND-001 B03 initial FAIL JSON
03_需求与设计/02_开发计划/task_z022b_03_quality_create_baseline_result.tsv	YES	Z022-CAND-001 B03 initial FAIL TSV
03_需求与设计/02_开发计划/task_z022b_03_quality_create_baseline_stdout.txt	YES	Z022-CAND-001 B03 initial FAIL stdout
03_需求与设计/02_开发计划/TASK-Z022B-04-PREP_Z022候选001quality-create-baseline失败定位与边界冻结报告.md	YES	Z022-CAND-001 B04 failure boundary report
03_需求与设计/02_开发计划/task_z022b_04_quality_create_baseline_failure_boundary.json	YES	Z022-CAND-001 B04 failure boundary JSON
03_需求与设计/02_开发计划/task_z022b_04_quality_create_baseline_failure_boundary.tsv	YES	Z022-CAND-001 B04 failure boundary TSV
03_需求与设计/02_开发计划/TASK-Z022B-05-FIX_Z022候选001quality-create-baseline测试合同修复报告.md	YES	Z022-CAND-001 B05 first fix report
03_需求与设计/02_开发计划/task_z022b_05_quality_create_baseline_fix_result.json	YES	Z022-CAND-001 B05 first fix result JSON
03_需求与设计/02_开发计划/task_z022b_05_quality_create_baseline_fix_result.tsv	YES	Z022-CAND-001 B05 first fix result TSV
03_需求与设计/02_开发计划/task_z022b_05_quality_create_baseline_fix_stdout.txt	YES	Z022-CAND-001 B05 first fix stdout
03_需求与设计/02_开发计划/TASK-Z022B-06-PREP_Z022候选001quality-create-baseline二次失败定位与边界冻结报告.md	YES	Z022-CAND-001 B06 second failure boundary report
03_需求与设计/02_开发计划/task_z022b_06_quality_create_baseline_second_failure_boundary.json	YES	Z022-CAND-001 B06 second failure boundary JSON
03_需求与设计/02_开发计划/task_z022b_06_quality_create_baseline_second_failure_boundary.tsv	YES	Z022-CAND-001 B06 second failure boundary TSV
03_需求与设计/02_开发计划/TASK-Z022B-07-FIX_Z022候选001quality-create-baseline测试合同二次修复报告.md	YES	Z022-CAND-001 B07 final fix report
03_需求与设计/02_开发计划/task_z022b_07_quality_create_baseline_second_fix_result.json	YES	Z022-CAND-001 B07 final fix result JSON
03_需求与设计/02_开发计划/task_z022b_07_quality_create_baseline_second_fix_result.tsv	YES	Z022-CAND-001 B07 final fix result TSV
03_需求与设计/02_开发计划/task_z022b_07_quality_create_baseline_second_fix_stdout.txt	YES	Z022-CAND-001 B07 final fix stdout
03_需求与设计/02_开发计划/TASK-Z022B-08-LEDGER_Z022候选001quality-create-baseline证据提交候选账本冻结报告.md	YES	Z022-CAND-001 B08 ledger report
03_需求与设计/02_开发计划/task_z022b_08_quality_create_baseline_freeze.json	YES	Z022-CAND-001 B08 freeze JSON
03_需求与设计/02_开发计划/task_z022b_08_commit_candidate_ledger.json	YES	Z022-CAND-001 B08 ledger JSON
03_需求与设计/02_开发计划/task_z022b_08_commit_candidate_ledger.tsv	YES	Z022-CAND-001 B08 ledger TSV
03_需求与设计/02_开发计划/工程师会话日志.md	YES	Engineer log for Z022-CAND-001 B02-B08
