check_id	status	evidence
B03_C_PASS前置核验	PASS	B03 PREP 已由上游 C PASS 后派发 B04
home_route_hit	PASS	http://127.0.0.1:5173/home
dashboard_route_hit	PASS	http://127.0.0.1:5173/dashboard/overview
screenshot_count_min_2	PASS	4
screenshot_paths_exist	PASS	/tmp/task_z014b04_dashboard_home_screenshots/01_home_route.png;/tmp/task_z014b04_dashboard_home_screenshots/02_home_to_dashboard_navigation.png;/tmp/task_z014b04_dashboard_home_screenshots/03_dashboard_overview_route.png;/tmp/task_z014b04_dashboard_home_screenshots/04_dashboard_interactions_guarded.png
request_methods_get_only	PASS	GET
write_request_count_zero	PASS	0
unexpected_write_request_count_zero	PASS	0
forbidden_request_count_zero	PASS	0
blocking_console_error_count_zero	PASS	0
blocking_response_error_count_zero	PASS	0
network_error_count_zero	PASS	0
export_download_print_sync_not_called	PASS	false
readonly_interactions_recorded	PASS	5
