field	value
TASK_ID	TASK-YISUAN-REALOBJ-B027-IMPL-CAND004
ROLE	B Engineer
HEAD	33444051168fc8c2939e8c2241dd840fb53f0b4e
branch	codex/sprint4-seal
cached_count	0
HEAD_tag_count	0
allowed_files_match	true
forbidden_paths_touched	[]
routes_http_200	/materialPurchase/materialPurchaseProcess|/subcontract/list?parity=material-purchase|/subcontract/detail
material_purchase_parity_final_path	/subcontract/list?parity=material-purchase
route_probe_file	03_需求与设计/02_开发计划/evidence/yisuan_realobj_b027_cand004/route_probe.json
screenshot_count	3
all_png_1440x1200	true
screenshot_files	route_material_purchase_redirect.png|route_subcontract_list.png|route_subcontract_detail.png
local_dev_endpoint_evidence_file	03_需求与设计/02_开发计划/evidence/yisuan_realobj_b027_cand004/local_dev_endpoint_evidence.json
scenario_tag	REALOBJ-CAND004-B027-20260601-001
create_request_observed	true
update_request_observed	true
settlement_preview_patch_request_observed	true
rollback_request_observed	true
all_local_dev_purchase_subcontract_write_statuses_success	true
local_object_loop_evidence_file	03_需求与设计/02_开发计划/evidence/yisuan_realobj_b027_cand004/local_object_loop_evidence.json
scenario_tag_present	true
create_success	true
update_success	true
local_object_id_created	true
local_object_id	5
subcontract_or_purchase_readback_success	true
material_line_readback_success	true
issue_return_or_inspection_readback_success	true
settlement_preview_created_or_updated	true
settlement_preview_readback_success	true
settlement_preview_status_observed	true
settlement_preview_amount_or_summary_observed	true
settlement_preview_real_finance_effect	false
settlement_preview_real_payment_effect	false
settlement_preview_real_inventory_effect	false
cancel_or_rollback_success	true
zero_residual	true
residual_records	0
rollback_zero_residual_evidence_file	03_需求与设计/02_开发计划/evidence/yisuan_realobj_b027_cand004/rollback_zero_residual_evidence.json
write_requests_observed_count	4
write_requests_only_local_dev_purchase_subcontract_endpoints	true
production_write_requests	0
erpnext_production_write_requests	0
real_production_account_used	false
network_write_evidence_file	03_需求与设计/02_开发计划/evidence/yisuan_realobj_b027_cand004/network_write_evidence.json
typecheck_command	npm run typecheck
typecheck_workdir	06_前端/lingyi-pc
typecheck_exit_code	0
typecheck_evidence_file	03_需求与设计/02_开发计划/evidence/yisuan_realobj_b027_cand004/typecheck_result.json
dev_server_started	true
dev_server_stopped	true
local_dev_server_started	true
local_dev_server_stopped	true
server_lifecycle_evidence_file	03_需求与设计/02_开发计划/evidence/yisuan_realobj_b027_cand004/server_lifecycle_evidence.json
data_classification	local_real_object_test_data_only
test_data_used	true
seed_data_used	false
not_future_production_data	true
sqlite_is_formal_db	false
sqlite_not_formal_database	true
sqlite_direct_reuse_for_production_forbidden	true
erpnext_production_connected	false
real_settlement_or_finance_effect	false
real_inventory_finance_production_records_migrated	false
real_stock_in_out_records_migrated	false
production_readback	false
go_live	false
project_completion	false
remote_lifecycle_parked	true
prohibited_actions_confirmation	staged=false;committed=false;amended=false;pushed=false;tagged=false;released=false;reset_restore_clean_delete=false;router_api_other_backend_modified=false;boundary_expanded=false
dirty_intersections	[]
unknown_dirty	[]
must_block_before_continue	[]
residual_risk	历史 dirty/untracked 噪声仍多，后续 ledger/stage 必须严格按 freeze YES 显式操作；local-dev/test_data 结论不外推生产可用性
NEXT_ROLE	C Auditor
