decision	path
YES	03_需求与设计/02_开发计划/TASK-Z028B-37-PREP_CAND005最终候选边界冻结报告.md
YES	03_需求与设计/02_开发计划/task_z028b_37_cand005_boundary.json
YES	03_需求与设计/02_开发计划/task_z028b_37_cand005_boundary.tsv
YES	03_需求与设计/02_开发计划/TASK-Z028B-38-IMPL_CAND005单文件验证报告.md
YES	03_需求与设计/02_开发计划/task_z028b_38_cand005_result.json
YES	03_需求与设计/02_开发计划/task_z028b_38_cand005_result.tsv
YES	03_需求与设计/02_开发计划/task_z028b_38_cand005_stdout.txt
YES	03_需求与设计/02_开发计划/TASK-Z028B-39-PREP-CAND005-FAILURE-DIAG_失败定位报告.md
YES	03_需求与设计/02_开发计划/task_z028b_39_cand005_failure_boundary.json
YES	03_需求与设计/02_开发计划/task_z028b_39_cand005_failure_boundary.tsv
YES	03_需求与设计/02_开发计划/TASK-Z028B-40-FIX-CAND005_warehouse_stock_entry_worker修复报告.md
YES	03_需求与设计/02_开发计划/task_z028b_40_cand005_fix_result.json
YES	03_需求与设计/02_开发计划/task_z028b_40_cand005_fix_result.tsv
YES	03_需求与设计/02_开发计划/task_z028b_40_cand005_fix_stdout.txt
YES	03_需求与设计/02_开发计划/TASK-Z028B-40-FIX-CAND005-FIX1_结果门禁字段修正报告.md
YES	03_需求与设计/02_开发计划/task_z028b_40_cand005_fix1_result.json
YES	03_需求与设计/02_开发计划/task_z028b_40_cand005_fix1_result.tsv
YES	03_需求与设计/02_开发计划/TASK-Z028B-41-LEDGER-CAND005_warehouse_stock_entry_worker提交候选账本报告.md
YES	03_需求与设计/02_开发计划/task_z028b_41_cand005_freeze.json
YES	03_需求与设计/02_开发计划/task_z028b_41_cand005_ledger.json
YES	03_需求与设计/02_开发计划/task_z028b_41_cand005_ledger.tsv
YES	07_后端/lingyi_service/tests/test_warehouse_stock_entry_worker.py
NO	00_交接与日志/HANDOVER_STATUS.md
NO	03_需求与设计/01_架构设计/架构师会话日志.md
NO	03_需求与设计/02_开发计划/工程师会话日志.md
NO	06_前端/lingyi-pc/src/views/cross_module/CrossModuleView.vue
NO	06_前端/lingyi-pc/src/views/production/ProductionPlanList.vue
NO	06_前端/lingyi-pc/src/views/quality/QualityInspectionDetail.vue
NO	06_前端/lingyi-pc/src/views/quality/QualityInspectionList.vue
NO	06_前端/lingyi-pc/src/views/sales_inventory/SalesInventorySalesOrderDetail.vue
NO	06_前端/lingyi-pc/src/views/sales_inventory/SalesInventorySalesOrderList.vue
NO	07_后端/lingyi_service/app/schemas/report.py
NO	07_后端/lingyi_service/app/services/report_catalog_service.py
NO	07_后端/lingyi_service/app/services/system_config_catalog_service.py
NO	07_后端/lingyi_service/tests/test_bom_permissions.py
NO	07_后端/lingyi_service/tests/test_logging_sanitization.py
NO	07_后端/lingyi_service/tests/test_permission_governance_audit_export.py
NO	07_后端/lingyi_service/tests/test_request_id_sanitization.py
NO	07_后端/lingyi_service/tests/test_style_profit_api.py
NO	07_后端/lingyi_service/tests/test_subcontract_company_permission.py
NO	07_后端/lingyi_service/tests/test_workshop_permissions.py
NO	03_需求与设计/02_开发计划/TASK-Z028B-01-PREP_Z028本地候选池冻结报告.md
NO	03_需求与设计/02_开发计划/task_z028b_01_candidate_pool.json
NO	03_需求与设计/02_开发计划/task_z028b_01_candidate_pool.tsv
NO	03_需求与设计/02_开发计划/TASK-Z028B-26-PREP_Z028剩余候选刷新报告.md
NO	03_需求与设计/02_开发计划/task_z028b_26_remaining_refresh.json
NO	03_需求与设计/02_开发计划/task_z028b_26_remaining_refresh.tsv
NO	03_需求与设计/02_开发计划/TASK-Z028B-09-ARCHIVE-CAND001_factory_statement_confirm_cancel归档确认报告.md
NO	03_需求与设计/02_开发计划/task_z028b_09_cand001_archive_result.json
NO	03_需求与设计/02_开发计划/task_z028b_09_cand001_archive_result.tsv
NO	07_后端/lingyi_service/tests/test_factory_statement_confirm_cancel.py
NO	03_需求与设计/02_开发计划/TASK-Z028B-18-ARCHIVE-CAND002_factory_statement_idempotency归档确认报告.md
NO	03_需求与设计/02_开发计划/task_z028b_18_cand002_archive_result.json
NO	03_需求与设计/02_开发计划/task_z028b_18_cand002_archive_result.tsv
NO	07_后端/lingyi_service/tests/test_factory_statement_idempotency.py
NO	03_需求与设计/02_开发计划/TASK-Z028B-25-ARCHIVE-CAND003_quality_outbox证据归档确认报告.md
NO	03_需求与设计/02_开发计划/task_z028b_25_cand003_archive_result.json
NO	03_需求与设计/02_开发计划/task_z028b_25_cand003_archive_result.tsv
NO	07_后端/lingyi_service/tests/test_quality_outbox.py
NO	03_需求与设计/02_开发计划/TASK-Z028B-36-ARCHIVE-CAND004_production_work_order_outbox归档确认报告.md
NO	03_需求与设计/02_开发计划/task_z028b_36_cand004_archive_result.json
NO	03_需求与设计/02_开发计划/task_z028b_36_cand004_archive_result.tsv
NO	07_后端/lingyi_service/tests/test_production_work_order_outbox.py
NO	07_后端/lingyi_service/tests/test_warehouse_stock_entry_draft.py
NO	07_后端/lingyi_service/app/routers/warehouse.py
NO	07_后端/lingyi_service/app/services/warehouse_service.py
NO	07_后端/lingyi_service/app/services/erpnext_warehouse_adapter.py
NO	07_后端/lingyi_service/app/models/warehouse.py
NO	07_后端/lingyi_service/app/schemas/warehouse.py
NO	runtime/
NO	cache/
NO	.venv/
NO	node_modules/
NO	dist/
