check_id	check_name	status	classification	expected	observed	details
RG-001	source_head_match	PASS	PASS	88aff9d168d34fe3f494623a7dc3e7813cd254cc	88aff9d168d34fe3f494623a7dc3e7813cd254cc	-
RG-002	z008_candidate_evidence_Z008-CAND-001	PASS	PASS	selected_candidate_id=Z008-CAND-001,task_status=PASS	selected_candidate_id=Z008-CAND-001,task_status=PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z008b_03_b02_json_tsv_consistency_freeze.json
RG-003	z008_candidate_evidence_Z008-CAND-002	PASS	PASS	selected_candidate_id=Z008-CAND-002,task_status=PASS	selected_candidate_id=Z008-CAND-002,task_status=PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z008b_08_b07_text_hygiene_freeze.json
RG-004	z008_candidate_evidence_Z008-CAND-003	PASS	PASS	selected_candidate_id=Z008-CAND-003,task_status=PASS	selected_candidate_id=Z008-CAND-003,task_status=PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z008b_13_b12_git_gate_freeze.json
RG-005	z008_candidate_evidence_Z008-CAND-004	PASS	PASS	selected_candidate_id=Z008-CAND-004,task_status=PASS	selected_candidate_id=Z008-CAND-004,task_status=PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z008b_18_b17_backend_contract_matrix_freeze.json
RG-006	z008_candidate_evidence_Z008-CAND-005	PASS	PASS	closed_candidate_id=Z008-CAND-005,freeze_status=PASS	closed_candidate_id=Z008-CAND-005,freeze_status=PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z008b_23_frontend_readonly_route_smoke_freeze.json
RG-007	z008_candidate_evidence_Z008-CAND-006	PASS	PASS	closed_candidate_id=Z008-CAND-006,freeze_status=PASS	closed_candidate_id=Z008-CAND-006,freeze_status=PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z008b_28_local_audit_packet_integrity_freeze.json
RG-008	z008_candidate_evidence_Z008-CAND-007	PASS	PASS	closed_candidate_id=Z008-CAND-007,freeze_status=PASS	closed_candidate_id=Z008-CAND-007,freeze_status=PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z008b_33_blocker_state_anti_misjudge_freeze.json
RG-009	z008_candidate_evidence_Z008-CAND-008	PASS	PASS	closed_candidate_id=Z008-CAND-008,freeze_status=PASS	closed_candidate_id=Z008-CAND-008,freeze_status=PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z008b_38_zero_write_prod_remote_guard_freeze.json
RG-010	z008_final_closed	PASS	PASS	z008_local_acceptance_automation_closed=true,remaining_candidate_count=0	z008_local_acceptance_automation_closed=True,remaining_candidate_count=0	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z008b_41_final_candidate_refresh.json
RG-011	z009_orchestrator_committed_state	PASS	PASS	orchestrator_committed=true,subcheck_total=8,pass_count=7,blocking_count=0,skipped_by_boundary_count=1	orchestrator_committed=True,subcheck_total=8,pass_count=7,blocking_count=0,skipped_by_boundary_count=1	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z009b_06_orchestrator_state_refresh.json
RG-012	z009_browser_rerun_skip_boundary	PASS	PASS	script_005_status=SKIPPED_BY_BOUNDARY,skipped_reason=login_state_env_missing:Z009_BROWSER_LOGIN_READY,full_browser_route_smoke_closed=false	script_005_status=SKIPPED_BY_BOUNDARY,skipped_reason=login_state_env_missing:Z009_BROWSER_LOGIN_READY,full_browser_route_smoke_closed=False	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z009b_09_browser_login_rerun_freeze.json
RG-013	z009_skip_aware_anchor	PASS	PASS	z009_orchestrator_local_closed=true,mode=SKIP_AWARE_LOCAL_CLOSED_WITH_RESIDUAL,subcheck_total=8,pass_count=7,blocking_count=0,skipped_by_boundary_count=1	z009_orchestrator_local_closed=True,mode=SKIP_AWARE_LOCAL_CLOSED_WITH_RESIDUAL,subcheck_total=8,pass_count=7,blocking_count=0,skipped_by_boundary_count=1	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z009b_13_skip_aware_final_status_anchor.json
RG-014	z009_summary_dashboard_core_state	PASS	PASS	dashboard_generated=true,dashboard_entry_count=14,z009_orchestrator_local_closed=true,full_browser_route_smoke_closed=false,subcheck_total=8,pass_count=7,skipped_by_boundary_count=1	dashboard_generated=True,dashboard_entry_count=14,z009_orchestrator_local_closed=True,full_browser_route_smoke_closed=False,subcheck_total=8,pass_count=7,skipped_by_boundary_count=1	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/z009_local_acceptance_summary_dashboard.json
RG-015	z009_dashboard_json_tsv_alignment	PASS	PASS	count/order/core-fields match	json_entries=14,tsv_rows=14	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/z009_local_acceptance_summary_dashboard.tsv
RG-016	z009_dashboard_html_required_status_texts	PASS	PASS	all required status texts present	missing=[]	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/z009_local_acceptance_summary_dashboard.html
RG-017	global_state_guard	PASS	PASS	production_readback_ready=False,go_live_ready=False,project_completion_claimed=False,remote_lifecycle_parked=True	production_readback_ready=False,go_live_ready=False,project_completion_claimed=False,remote_lifecycle_parked=True	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z009b_13_skip_aware_final_status_anchor.json
RG-018	zero_write_prod_remote_guard	PASS	PASS	write_request_count=0,unexpected_write_request_count=0,forbidden_request_count=0,production_account_used=false,remote_lifecycle_action_executed=false	rerun_write=0,rerun_unexpected_write=0,rerun_forbidden=0,anchor_write=0,anchor_production_account_used=False,anchor_remote_lifecycle_action_executed=False	task_z009b_09 + task_z009b_13
RG-019	sensitive_pattern_scan	PASS	PASS	no sensitive credential markers	hits=0	-
RG-020	text_hygiene_gate	PASS	PASS	all selected files trailing_whitespace=0 and eof_single_newline=true	failures=0	-
