field	value
status	DONE
task_id	TASK-YISUAN-1TO1-B004-REGRESSION-CAND001
role	B Engineer
head	5991c02b24e2299245675bf00ac05fee8f07f749
branch	codex/sprint4-seal
regression_only	true
code_modified_in_this_task	false
changed_files	06_前端/lingyi-pc/src/views/HomePage.vue|06_前端/lingyi-pc/src/views/dashboard/DashboardOverview.vue
route_home_http_status	200
route_dashboard_overview_http_status	200
screenshot_home	03_需求与设计/02_开发计划/evidence/yisuan_1to1_b004_regression_cand001/screenshots/home_1440x1200.png
screenshot_dashboard	03_需求与设计/02_开发计划/evidence/yisuan_1to1_b004_regression_cand001/screenshots/dashboard_overview_1440x1200.png
screenshot_dimensions	home=1440x1200;dashboard=1440x1200
ui_source_readback_present	true
ui_source_status	found
a001_a006_business_contract_merged	false
ui_source_summary_file	03_需求与设计/02_开发计划/evidence/yisuan_1to1_b004_regression_cand001/ui_source_summary.json
dom_anchors_observed	12/12
dom_anchors_file	03_需求与设计/02_开发计划/evidence/yisuan_1to1_b004_regression_cand001/dom_anchors.json
write_requests_observed_count	0
production_write_requests	0
erpnext_production_write_requests	0
real_production_account_used	false
auth_401_count	0
network_write_observation_file	03_需求与设计/02_开发计划/evidence/yisuan_1to1_b004_regression_cand001/network_write_observation.json
typecheck_command	npm run typecheck
typecheck_workdir	06_前端/lingyi-pc
typecheck_exit_code	0
typecheck_result_file	03_需求与设计/02_开发计划/evidence/yisuan_1to1_b004_regression_cand001/typecheck_result.json
dev_server_started	true
dev_server_stopped	true
authorized_changed_files_only	true
forbidden_paths_touched	[]
local_dev_py_tracked	true
local_dev_py_clean	true
local_dev_py_gitignored	false
dirty_intersections	[]
unknown_dirty	[]
must_block_before_continue	[]
git_diff_check	PASS
cached_empty	true
data_classification	ui_parity_no_write
test_data_used	false
seed_data_used	false
sqlite_not_formal_database	true
sqlite_direct_reuse_for_production_forbidden	true
not_future_production_data	true
real_inventory_finance_production_records_migrated	false
real_stock_in_out_records_migrated	false
next_task	TASK-YISUAN-1TO1-B005-LEDGER-CAND001
