field	value
status	DONE
task_id	TASK-MVP-B020-REGRESSION-CAND003
head	5c8cef6d9bcc9e3d7fbf7443ae6bdbc2fd1d142a
branch	codex/sprint4-seal
regression_only	true
code_modified_in_this_task	false
changed_files	06_前端/lingyi-pc/src/views/bom/BomList.vue|06_前端/lingyi-pc/src/views/bom/BomDetail.vue|07_后端/lingyi_service/app/local_dev.py
local_mvp_loop_complete	true
data_classification	test_data
routes_http_200	/bom/list:200|/bom/detail:200
screenshots	/bom/list:1440x1200|/bom/detail:1440x1200
dom_anchors_observed	10/10
scenario_tag	MVP-B020-BOM-1780204425243
save_success	true
draft_id_created	true
draft_id	3
fabric_line_saved	true
trim_line_saved	true
cancel_success	true
readback_success	true
rollback_success	true
zero_residual_success	true
residual_records_after_rollback	0
test_data_used	true
seed_data_used	false
not_future_production_data	true
sqlite_not_formal_database	true
sqlite_direct_reuse_for_production_forbidden	true
future_seed_data_migration_required	true
seed_data_json_csv_export_available	false
real_inventory_finance_production_records_migrated	false
real_stock_in_out_records_migrated	false
auth_401_on_local_sqlite_write_loop	false
auth_401_count	0
write_requests_observed_count	3
write_requests_only_local_dev_bom_endpoints	true
production_write_requests	0
erpnext_production_write_requests	0
erpnext_production_connected	false
real_production_account_used	false
typecheck_exit_code	0
authorized_changed_files_only	true
local_dev_py_status	governed_local_dev_sqlite_scenario_tag_support
forbidden_paths_touched	[]
dirty_intersections	[]
unknown_dirty	[]
must_block_before_continue	[]
git_diff_check	PASS
cached_empty	true
next_task	TASK-MVP-B021-LEDGER-CAND003
