order	entry_id	script_id	script_name	candidate_origin	category	command_template	output_artifacts	boundary_notes	requires_manual_login
1	RUN-001	Z008-SCRIPT-001	verify_json_tsv_consistency.py	Z008-CAND-001	single_check	python3 verify_json_tsv_consistency.py --manifest <manifest.json> --output-json <result.json> --output-tsv <result.tsv>	z008_json_tsv_consistency_manifest.json;z008_json_tsv_consistency_result.json;z008_json_tsv_consistency_result.tsv	仅本地文件解析与一致性校验。	false
2	RUN-002	Z008-SCRIPT-002	verify_text_hygiene.py	Z008-CAND-002	single_check	python3 verify_text_hygiene.py --manifest <manifest.json> --output-json <result.json> --output-tsv <result.tsv>	z008_text_hygiene_manifest.json;z008_text_hygiene_result.json;z008_text_hygiene_result.tsv	仅文本卫生检查，不修复业务逻辑。	false
3	RUN-003	Z008-SCRIPT-003	verify_git_gates.py	Z008-CAND-003	single_check	python3 verify_git_gates.py --repo-root /Users/hh/Desktop/领意服装管理系统 --manifest <manifest.json> --output-json <result.json> --output-tsv <result.tsv>	z008_git_gate_manifest.json;z008_git_gate_result.json;z008_git_gate_result.tsv	仅执行本地只读 git/gh 查询。	false
4	RUN-004	Z008-SCRIPT-004	verify_backend_contract_matrix.py	Z008-CAND-004	single_check	python3 verify_backend_contract_matrix.py --backend-root /Users/hh/Desktop/领意服装管理系统/07_后端/lingyi_service --manifest <manifest.json> --output-json <result.json> --output-tsv <result.tsv>	z008_backend_contract_matrix_manifest.json;z008_backend_contract_matrix_result.json;z008_backend_contract_matrix_result.tsv	后端本地测试矩阵，不连接生产 ERPNext。	false
5	RUN-005	Z008-SCRIPT-005	verify_frontend_readonly_route_smoke.mjs	Z008-CAND-005	single_check	node verify_frontend_readonly_route_smoke.mjs --manifest <manifest.json> --output-json <result.json> --output-tsv <result.tsv> --output-browser-json <browser_result.json> --screenshot-dir <screenshot_dir>	z008_frontend_readonly_route_smoke_manifest.json;z008_frontend_readonly_route_smoke_result.json;z008_frontend_readonly_route_smoke_result.tsv;z008_frontend_readonly_route_smoke_browser_result.json	仅在本地登录态前置满足时运行；否则保持 SKIPPED_BY_BOUNDARY。	true
6	RUN-006	Z008-SCRIPT-006	verify_local_audit_packet_integrity.py	Z008-CAND-006	single_check	python3 verify_local_audit_packet_integrity.py --manifest <manifest.json> --output-json <result.json> --output-tsv <result.tsv>	z008_local_audit_packet_integrity_manifest.json;z008_local_audit_packet_integrity_result.json;z008_local_audit_packet_integrity_result.tsv	核验本地审计包完整性与状态字段。	false
7	RUN-007	Z008-SCRIPT-007	verify_blocker_state_anti_misjudge.py	Z008-CAND-007	single_check	python3 verify_blocker_state_anti_misjudge.py --manifest <manifest.json> --output-json <result.json> --output-tsv <result.tsv>	z008_blocker_state_anti_misjudge_manifest.json;z008_blocker_state_anti_misjudge_result.json;z008_blocker_state_anti_misjudge_result.tsv	防止将外部阻断误写为完成。	false
8	RUN-008	Z008-SCRIPT-008	verify_zero_write_prod_remote_guard.py	Z008-CAND-008	single_check	python3 verify_zero_write_prod_remote_guard.py --manifest <manifest.json> --output-json <result.json> --output-tsv <result.tsv>	z008_zero_write_prod_remote_guard_manifest.json;z008_zero_write_prod_remote_guard_result.json;z008_zero_write_prod_remote_guard_result.tsv	零写入/生产账号/远端生命周期守卫。	false
9	RUN-009	Z009-ORCH	verify_local_acceptance_orchestrator.py	TASK-Z009B-02-IMPL	orchestrator	python3 verify_local_acceptance_orchestrator.py --manifest z009_local_acceptance_orchestrator_manifest.json --output-json <result.json> --output-tsv <result.tsv> --summary-json <summary.json> --summary-tsv <summary.tsv> --run-root <run_root>	z009_local_acceptance_orchestrator_manifest.json;z009_local_acceptance_orchestrator_result.json;z009_local_acceptance_orchestrator_result.tsv;z009_local_acceptance_orchestrator_subcheck_summary.json;z009_local_acceptance_orchestrator_subcheck_summary.tsv	当前闭合模式为 SKIP_AWARE_LOCAL_CLOSED_WITH_RESIDUAL。	false
10	RUN-010	Z009-POST-GATE	verify_post_orchestrator_regression_gate.py	TASK-Z009B-15-IMPL	regression_gate	python3 verify_post_orchestrator_regression_gate.py --manifest z009_post_orchestrator_regression_gate_manifest.json --output-json <result.json> --output-tsv <result.tsv>	z009_post_orchestrator_regression_gate_manifest.json;z009_post_orchestrator_regression_gate_result.json;z009_post_orchestrator_regression_gate_result.tsv	要求 full_browser_route_smoke_closed=false 仍被正确保留。	false
