key	value
task_id	TASK-Z032B-27-FIX-CAND003-SECOND
role	B Engineer
source_task	TASK-Z032B-26-PREP-CAND003-SECOND-FAILURE-DIAG
candidate_id	Z032-CAND-003
allowed_fix_file	07_后端/lingyi_service/tests/test_workshop_batch_exceptions.py
workdir	07_后端/lingyi_service
exact_command	.venv/bin/python -m pytest tests/test_workshop_batch_exceptions.py -q
command_run_count	1
exit_code	1
result	FAIL
pytest_summary	6 failed, 1 warning in 1.00s
stdout_path	03_需求与设计/02_开发计划/task_z032b_27_cand003_second_fix_stdout.txt
target_test_dirty_diff	true
remaining_failed_cases_count	6
remaining_failure_pattern	409 remains observed for original 500/503/200 business branch assertions
carrier_contract_remains_addressed	true
idempotency_carrier_conflict_gate_addressed	false
business_status_assertions_preserved	true
no_409_conflict_acceptance	true
assertions_weakened	false
skip_xfail_deleted_cases	false
backend_app_changed	false
frontend_changed	false
unrelated_tests_changed	false
continued_after_fail	false
rerun_performed	false
stage	false
commit	false
push	false
tag	false
pr	false
release	false
remote_lifecycle_parked	true
production_readback	false
go_live	false
project_completion	false
