type	path
YES	06_前端/lingyi-pc/src/views/subcontract/SubcontractOrderList.vue
YES	06_前端/lingyi-pc/src/views/subcontract/SubcontractOrderDetail.vue
YES	03_需求与设计/02_开发计划/TASK-Z037B-34-PREP_CAND005_边界冻结报告.md
YES	03_需求与设计/02_开发计划/task_z037b_34_cand005_boundary.json
YES	03_需求与设计/02_开发计划/task_z037b_34_cand005_boundary.tsv
YES	03_需求与设计/02_开发计划/TASK-Z037B-35-IMPL_CAND005_实施报告.md
YES	03_需求与设计/02_开发计划/task_z037b_35_cand005_impl.json
YES	03_需求与设计/02_开发计划/task_z037b_35_cand005_impl.tsv
YES	04_测试与验收/测试证据/z037_cand005_subcontract_readonly_flow/subcontract_runtime_evidence.json
YES	04_测试与验收/测试证据/z037_cand005_subcontract_readonly_flow/subcontract_list_runtime_fullpage.png
YES	04_测试与验收/测试证据/z037_cand005_subcontract_readonly_flow/subcontract_detail_runtime_fullpage.png
YES	03_需求与设计/02_开发计划/TASK-Z037B-36-REGRESSION-CAND005_外发单只读流回归报告.md
YES	03_需求与设计/02_开发计划/task_z037b_36_cand005_regression.json
YES	03_需求与设计/02_开发计划/task_z037b_36_cand005_regression.tsv
YES	04_测试与验收/测试证据/z037_cand005_subcontract_readonly_flow_regression/subcontract_regression_runtime_evidence.json
YES	04_测试与验收/测试证据/z037_cand005_subcontract_readonly_flow_regression/subcontract_list_regression_fullpage.png
YES	04_测试与验收/测试证据/z037_cand005_subcontract_readonly_flow_regression/subcontract_detail_regression_fullpage.png
YES	03_需求与设计/02_开发计划/TASK-Z037B-37-LEDGER-CAND005_ledger冻结报告.md
YES	03_需求与设计/02_开发计划/TASK-Z037B-37-LEDGER-CAND005_ledger_freeze.json
YES	03_需求与设计/02_开发计划/task_z037b_37_cand005_ledger.json
YES	03_需求与设计/02_开发计划/task_z037b_37_cand005_ledger.tsv
NO	06_前端/lingyi-pc/src/api/subcontract.ts
NO	07_后端/
NO	03_需求与设计/02_开发计划/task_z037b_01_product_candidate_pool.json
NO	03_需求与设计/02_开发计划/task_z037b_01_product_candidate_pool.tsv
NO	historical_dirty_forbidden_product_test_paths
NO	log_control_dirty_paths
NO	Z034_B37_residual_artifacts
NO	Z035_committed_product_paths
NO	Z036_committed_product_paths
NO	runtime/cache
NO	test-results
NO	remote_lifecycle
NO	production_readback
NO	go_live
