entry_id	section	title	path	exists	status	summary	residual_note	next_safe_action
Z010-HO-001	RUNBOOK	Z010 本地验收运行手册	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/Z010_本地验收运行手册.md	true	LOCAL_UNCOMMITTED_DOCUMENTATION	提供 Z008 单项脚本、Z009 orchestrator 与 post-orchestrator gate 的本地运行方法与结果解释。	明确 SKIP_AWARE_LOCAL_CLOSED_WITH_RESIDUAL，不外推生产闭合。	按手册执行本地只读复核，不触发远端动作。
Z010-HO-002	EVIDENCE_MAP	Z010 本地证据索引与文件地图	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/Z010_本地证据索引与文件地图.md	true	LOCAL_UNCOMMITTED_DOCUMENTATION	覆盖 Z005-Z010 的关键报告、JSON、TSV、HTML 证据路径与用途。	保留 Z008-SCRIPT-005 skipped 与 remote_lifecycle_parked=true。	按文件地图逐项核对证据存在性与状态语义。
Z010-HO-003	RISK_BLOCKER	Z010 残余风险与外部阻断说明	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/Z010_残余风险与外部阻断说明.md	true	LOCAL_UNCOMMITTED_DOCUMENTATION	归纳登录态残余、生产只读、go-live、远端生命周期授权等外部阻断。	full_browser_route_smoke_closed=false，production_readback_ready=false。	按 only_unblock_condition 等待用户手动前置或授权。
Z010-HO-004	MANUAL_LOGIN_PRECONDITION	Z010 浏览器登录态人工前置操作说明	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/Z010_浏览器登录态人工前置操作说明.md	true	LOCAL_UNCOMMITTED_DOCUMENTATION	定义用户手工登录前置与 Z009_BROWSER_LOGIN_READY=1 的合法设置时机。	登录态未满足前，Z008-SCRIPT-005 继续 SKIPPED_BY_BOUNDARY。	用户完成本地登录态后再执行只读 browser rerun。
Z010-HO-005	SUMMARY_DASHBOARD	Z009 本地验收摘要仪表盘	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/z009_local_acceptance_summary_dashboard.html	true	LOCAL_UNCOMMITTED_DOCUMENTATION	集中呈现 Z008/Z009 本地自动化结果、skip-aware 残余与外部阻断状态。	full_browser_route_smoke_closed=false 仍为当前事实。	用于人工验收与交接，不作为生产闭合判定。
Z010-HO-006	Z008_CLOSURE	Z008 本地候选池关闭归档	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z008b_41_final_candidate_refresh.json	true	LOCAL_ARCHIVED	Z008 八个本地验收自动化候选均已本地闭合并归档。	仅代表本地能力闭合，不代表生产读写与上线闭合。	将 Z008 作为 Z009/Z010 文档化输入。
Z010-HO-007	Z009_FINAL_STATUS	Z009 最终本地状态刷新	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z009b_19_final_local_status_refresh.json	true	LOCAL_ARCHIVED	确认 z009_orchestrator_local_closed=true，且模式为 SKIP_AWARE_LOCAL_CLOSED_WITH_RESIDUAL。	Z008-SCRIPT-005 仍 skipped，remote_lifecycle_parked=true。	在文档化主线中保持真实残余，不做闭合外推。
Z010-HO-008	STATE_ANCHOR	Z009 Skip-aware 状态锚定	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z009b_13_skip_aware_final_status_anchor.json	true	LOCAL_COMMITTED	固定 subcheck_total=8、pass_count=7、skipped_by_boundary_count=1 的解释口径。	不得将 skipped 项改写为 closed。	后续评审以该锚定为判定基线。
Z010-HO-009	BROWSER_RERUN_FREEZE	Z009 登录态边界复跑冻结	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z009b_09_browser_login_rerun_freeze.json	true	LOCAL_COMMITTED	记录 z009_browser_login_ready=0 时 script_005 保持 SKIPPED_BY_BOUNDARY。	未满足登录态前禁止伪造 PASS。	等待用户手动登录态就绪后再执行只读复跑。
Z010-HO-010	REGRESSION_GATE	Z009 post-orchestrator 回归总门禁冻结	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z009b_16_post_orchestrator_regression_freeze.json	true	LOCAL_COMMITTED	固定 regression_check_count=27、pass_regression_count=27、block_regression_count=0。	回归门禁通过不等于生产 readback/go-live 闭合。	继续以零写入与远端 parked 为高优先守卫。
