domain	route	section	source_path	note
material_purchase_parity	/materialPurchase/materialPurchaseProcess	redirect_parity	task_z007b_17_module_entry_to_list_route_parity_evidence.json	final_path=/subcontract/list?parity=material-purchase
subcontract	/subcontract/list	query_panel	z045_cand005_subcontract_sync_readback/dom_anchors_evidence.json	keyword/partner/status/material_category
subcontract	/subcontract/list	result_table	z045_cand005_subcontract_sync_readback/z045_cand005_list_1440x1200.png	单据+明细+发料回料+验货结算
subcontract	/subcontract/detail	master_info	z045_cand005_subcontract_sync_readback/z045_cand005_detail_1440x1200.png	主信息+状态区
subcontract	/subcontract/detail	list_detail_readback	z044_cand005_subcontract_list_detail_sync_lock_readback/dom_anchors_evidence.json	list/detail 同步与锁定
stock_ledger	/sales-inventory/stock-ledger	query_panel	mvp_b050_cand006_inventory_regression/dom_anchors.json	物料/仓库/流水类型/状态筛选
stock_ledger	/sales-inventory/stock-ledger	flow_table	mvp_b050_cand006_inventory_regression/dom_anchors.json	库存流水主表
warehouse	/warehouse	summary_cards	yisuan_1to1_b012_regression_cand002/dom_anchors.json	仓库摘要卡片与 parity readback
warehouse	/warehouse	location_table	yisuan_1to1_b012_regression_cand002/dom_anchors.json	仓库/库位表格
cross_route	/subcontract/list+detail	list_detail_relation	z044_cand005_subcontract_list_detail_sync_lock_readback/dom_anchors_evidence.json	入口和回读关系
cross_route	/sales-inventory/stock-ledger+/warehouse	visual_linkage	mvp_b050_cand006_inventory_regression/dom_anchors.json	流水与仓库视图联动
