blocker_id	blocker_type	current_status	required_authorization_or_input	allowed_next_action_after_unblock	forbidden_before_unblock	evidence_required	owner	residual_note
Z011-BLOCKER-001	BROWSER_LOGIN_READY_ENV	BLOCKED_USER_MANUAL_LOGIN_REQUIRED	用户在本地开发环境手工完成登录态，并确认 `Z009_BROWSER_LOGIN_READY=1`。	仅允许在 localhost/127.0.0.1 范围只读复跑 browser route smoke。	禁止伪造登录就绪、禁止自动登录、禁止读取 cookie/localStorage/sessionStorage/token。	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z009b_09_browser_login_rerun_freeze.json	User	当前 `full_browser_route_smoke_closed=false` 与 `Z008-SCRIPT-005=SKIPPED_BY_BOUNDARY` 为预期残余。
Z011-BLOCKER-002	BROWSER_ROUTE_SMOKE_CLOSURE	OPEN_RESIDUAL	登录态就绪后执行只读复跑并满足 GET-only、零写请求、final URL 匹配、零 blocking 错误。	更新 browser rerun 证据并由 A 派发审核闭合任务。	禁止将 `SKIP_AWARE_LOCAL_CLOSED_WITH_RESIDUAL` 直接解释为完整浏览器链路闭合。	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/z011_skip_aware_residual_anchor_v2.json	A Technical Architect	`full_browser_route_smoke_closed=false` 不是失败，而是边界内保留状态。
Z011-BLOCKER-003	PRODUCTION_READONLY_ACCOUNT	BLOCKED_EXTERNAL_DEPENDENCY	用户提供生产只读账号并明确权限范围（只读 API 与审计链路）。	按生产访问包模板执行受控只读取证，不得写入业务数据。	禁止 B 自行登录生产系统，禁止在未授权情况下发起生产请求。	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_52_production_readonly_access_packet_template.json	User	`production_readback_ready=false` 必须保留到外部条件满足后。
Z011-BLOCKER-004	CONTROLLED_REAL_SAMPLES	BLOCKED_EXTERNAL_DEPENDENCY	用户提供受控真实样本窗口与样本范围（warehouse/factory statement/master data）。	仅采集授权样本的只读证据并对照非 fallback 条件。	禁止使用未授权真实样本，禁止用本地 fallback 冒充生产样本闭合。	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/z010_residual_risk_and_blocker_matrix.json	User	受控样本是生产 non-fallback readback 的必要前置。
Z011-BLOCKER-005	NON_FALLBACK_READBACK_PROOF	BLOCKED_EXTERNAL_DEPENDENCY	具备生产只读账号与受控样本后，完成 request_id/source trace/replay consistency 取证。	提交生产 non-fallback readback 证据包并进入专门审计任务。	禁止跳过 non-fallback 证明条件，禁止以 mock/静态返回宣称生产闭合。	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_52_production_readonly_access_packet_template.json	B Engineer (after explicit authorization)	未完成前必须保持 `production_readback_ready=false`。
Z011-BLOCKER-006	REMOTE_LIFECYCLE_PUSH	BLOCKED_REMOTE_LIFECYCLE	用户显式授权 push（目标分支、保护策略、审计记录）。	仅执行被授权分支的 push，并保留审计记录。	禁止任何未授权 push。	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_52_remote_lifecycle_authorization_checklist.json	User	当前 `remote_lifecycle_parked=true`，不执行远端生命周期动作。
Z011-BLOCKER-007	REMOTE_LIFECYCLE_PR	BLOCKED_REMOTE_LIFECYCLE	用户显式授权 PR（base 分支、评审策略、检查门禁）。	按授权参数创建/更新 PR 并记录门禁状态。	禁止任何未授权 PR 动作。	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_52_remote_lifecycle_authorization_checklist.json	User	本地 checklist 不是授权，不可替代用户授权指令。
Z011-BLOCKER-008	REMOTE_LIFECYCLE_TAG	BLOCKED_REMOTE_LIFECYCLE	用户显式授权 tag（命名规则、作用域、annotated 要求）。	仅执行授权 tag 操作并保存审计记录。	禁止创建未授权 tag。	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_52_remote_lifecycle_authorization_checklist.json	User	在 parked 状态下 tag 一律视为违规动作。
Z011-BLOCKER-009	REMOTE_LIFECYCLE_RELEASE	BLOCKED_REMOTE_LIFECYCLE	用户显式授权 release（发布清单、回滚计划、审批责任人）。	按授权流程执行 release 并输出发布审计包。	禁止任何未授权 release。	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_52_remote_lifecycle_authorization_checklist.json	User	远端生命周期动作未授权时必须保持 `remote_lifecycle_parked=true`。
Z011-BLOCKER-010	PROJECT_COMPLETION_GOVERNANCE	OPEN_GOVERNANCE_BLOCKER	完成生产 readback、go-live 验证、远端 release 授权与审计闭环。	进入项目完成声明审批流程。	禁止在 `production_readback_ready=false`、`go_live_ready=false`、`project_completion_claimed=false` 状态下声明项目完成。	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/z011_skip_aware_residual_anchor_v2.json	A Technical Architect	本地 checklist 仅用于解阻准备，不代表任何授权已经生效。
