entry_order	check_id	status	observed	evidence
1	source_head_match	PASS	B03 source_head 与 B02 冻结头一致（359b280e4b0c25353d01bc8fc9845d7f9251cf45）。	task_z013b_02_bom_material_interaction_boundary.json + git rev-parse HEAD
2	changed_files_allowlist	PASS	06_前端差异仅 BomList.vue，位于 B02 allowlist。	git diff --name-only -- 06_前端
3	backend_diff_empty	PASS	07_后端无差异。	git diff --name-only -- 07_后端
4	route_parity	PASS	入口语义保持并标准化到 material-fabric / goodsplan-material-samples / product-style。	router/index.ts + browser_result.route_checks
5	bom_sections	PASS	面料、辅料/包材、加工类型、加工入仓区块补齐稳定 data-testid。	BomList.vue + browser_result.bom_sections_status
6	readonly_filters	PASS	主列表与面料区块查询/重置交互可执行。	browser_result.readonly_filter_interaction_status
7	detail_drawer	PASS	详情抽屉入口可测；在无行数据情况下保持只读可用态。	BomList.vue + browser_result.readonly_detail_drawer_status
8	guarded_actions	PASS	新建/启停/删除/导出/导入等写动作保持 guarded/disabled，不触发写请求。	BomList.vue + browser_result.guarded_actions_status
9	typecheck	PASS	npm run typecheck PASS。	terminal output
10	build	PASS	npm run build PASS。	terminal output
11	browser_route_hits	PASS	目标路由命中 7/7。	z013_bom_material_interaction_browser_result.json route_checks
12	browser_get_only	PASS	request_methods=["GET"]，write_request_count=0，unexpected_write_request_count=0，forbidden_request_count=0。	z013_bom_material_interaction_browser_result.json
13	browser_blocking_metrics	PASS	blocking_console_error_count=0，blocking_response_error_count=0，network_error_count=0。	z013_bom_material_interaction_browser_result.json
14	text_hygiene	PASS	B03 报告、impl result JSON/TSV、browser result JSON、工程师会话日志文本卫生通过。	trailing whitespace & EOF newline checks
