field	value
task_id	TASK-Z022B-27-IMPL-CAND003-REVALIDATE
source_task_id	TASK-Z022B-26-PREP-CAND003-DIRTY-DIFF-REVIEW
selected_candidate_id	Z022-CAND-003
workdir	/Users/hh/Desktop/领意服装管理系统/07_后端/lingyi_service
command	.venv/bin/python -m pytest tests/test_quality_defect_baseline.py -q
command_run_count	1
exit_code	1
result	FAIL
pytest_summary	2 failed, 1 warning in 1.20s
stdout_log	03_需求与设计/02_开发计划/task_z022b_27_cand003_revalidate_stdout.txt
failed_tests	tests/test_quality_defect_baseline.py::QualityDefectBaselineTest::test_add_defect_to_draft_returns_201|tests/test_quality_defect_baseline.py::QualityDefectBaselineTest::test_add_defect_to_non_draft_rejected_with_403
failure_observed	draft create expected 201 actual 409 invalid_scenario_tag|non-draft expected 403 actual 409 invalid_scenario_tag
pre_test_diff_hash_or_summary	c1a680de26e31dd81131b38ff133e39b75d3dc670038c1a8e854c8c7df3b4d58; 1 file changed, 61 insertions(+), 28 deletions(-)
post_test_diff_hash_or_summary	c1a680de26e31dd81131b38ff133e39b75d3dc670038c1a8e854c8c7df3b4d58; 1 file changed, 61 insertions(+), 28 deletions(-)
test_diff_unchanged_by_this_task	true
cached_area_empty	true
historical_b20_b25_reused_as_pass	false
code_edits_performed	false
test_edits_performed	false
backend_app_edits_performed	false
frontend_edits_performed	false
existing_artifact_edits_performed	false
engineer_shared_log_edit_performed	false
other_pytest_or_full_pytest_run	false
npm_browser_build_typecheck_verify_run	false
stage_performed	false
commit_performed	false
push_performed	false
reset_checkout_cleanup_performed	false
project_completion_claimed	false
