section	field	value
SUMMARY	head	bacbc355e58b8f0fbf8a847f3775729927b9ad8c
SUMMARY	branch	codex/sprint4-seal
SUMMARY	changed_files	06_前端/lingyi-pc/src/views/sales_inventory/SalesInventoryReferenceList.vue;06_前端/lingyi-pc/src/views/warehouse/WarehouseDashboard.vue;07_后端/lingyi_service/app/local_dev.py
SUMMARY	allowed_files_only	true
SUMMARY	local_mvp_loop_complete	true
SUMMARY	next_task	TASK-MVP-B012-REGRESSION-CAND002
IMPLEMENTATION	customer_reference	已实现客户引用区并展示客户编码/名称/联系人/电话/状态
IMPLEMENTATION	warehouse_reference	已实现仓库引用区并展示仓库编码/名称/类型/地址/启用状态
IMPLEMENTATION	supplier_reference	已实现供应商引用区并展示供应商编码/名称/物料类别/联系方式/状态
IMPLEMENTATION	factory_reference	已实现加工厂引用区并展示加工厂编码/名称/工序能力/联系方式/状态
IMPLEMENTATION	material_reference	已实现物料引用区并展示物料编码/名称/类别/单位/默认仓库
IMPLEMENTATION	query_filter	已实现keyword/类别/状态/仓库联动/物料联动筛选并影响可见列表
IMPLEMENTATION	local_write_storage	local-dev/sqlite/scenario_tag
IMPLEMENTATION	scenario_tag	MVP-BASIC-20260531-002
IMPLEMENTATION	rollback_success	true
IMPLEMENTATION	zero_residual_success	true
IMPLEMENTATION	residual_records_after_rollback	0
EVIDENCE	route_references	/sales-inventory/references|200|/sales-inventory/references
EVIDENCE	route_foundation_warehouse	/foundation/warehouse|200|/warehouse?parity=foundation-warehouse
EVIDENCE	route_warehouse	/warehouse|200|/warehouse
EVIDENCE	screenshot_references	03_需求与设计/02_开发计划/evidence/mvp_b011_cand002_basic_impl/mvp_b011_sales_inventory_references_1440x1200.png
EVIDENCE	screenshot_warehouse_parity	03_需求与设计/02_开发计划/evidence/mvp_b011_cand002_basic_impl/mvp_b011_foundation_warehouse_1440x1200.png
EVIDENCE	dom_anchors_observed	10/10
EVIDENCE	scenario_tag	MVP-BASIC-20260531-002
EVIDENCE	create_or_update_success	true
EVIDENCE	save_success	true
EVIDENCE	draft_id_created	true
EVIDENCE	draft_id	1
EVIDENCE	cancel_success	true
EVIDENCE	readback_success	true
EVIDENCE	rollback_success	true
EVIDENCE	zero_residual_success	true
EVIDENCE	residual_records_after_rollback	0
EVIDENCE	auth_401_on_local_sqlite_write_loop	false
EVIDENCE	auth_401_count	0
EVIDENCE	write_requests_observed_count	3
EVIDENCE	write_requests_only_local_dev	true
EVIDENCE	production_write_requests	0
EVIDENCE	erpnext_production_write_requests	0
EVIDENCE	real_production_account_used	false
EVIDENCE	typecheck_command	npm run typecheck
EVIDENCE	typecheck_workdir	06_前端/lingyi-pc
EVIDENCE	typecheck_exit_code	0
EVIDENCE	dev_server_started	true
EVIDENCE	dev_server_stopped	true
EVIDENCE	local_dev_started	true
EVIDENCE	local_dev_stopped	true
SCOPE_GUARD	production_write_requests	0
SCOPE_GUARD	erpnext_production_write_requests	0
SCOPE_GUARD	real_production_account_used	false
SCOPE_GUARD	forbidden_paths_touched	[]
SCOPE_GUARD	dirty_intersections	[]
SCOPE_GUARD	unknown_dirty	[]
SCOPE_GUARD	must_block_before_continue	[]
SCOPE_GUARD	git_diff_check	PASS
SCOPE_GUARD	cached_empty	true
RESIDUAL_RISK	local_dev_py_local_dev_sqlite_scenario_tag_support_only	true
RESIDUAL_RISK	remote_lifecycle_parked	true
RESIDUAL_RISK	production_readback	false
RESIDUAL_RISK	go_live	false
RESIDUAL_RISK	project_completion	false
NEXT_RECOMMENDED_TASK	task	TASK-MVP-B012-REGRESSION-CAND002
