field	value
TASK_ID	TASK-YISUAN-CONTRACT-B036-REGRESSION-CAND005
HEAD	e73e8d427fcc5ca03b417a31df02b9fcb276021f
branch	codex/sprint4-seal
cached_count	0
HEAD_tag_count	0
code_modified_in_this_task	false
changed_files_attribution	allowed_product_files_current_dirty=06_前端/lingyi-pc/src/views/sales_inventory/SalesInventoryStockLedger.vue|06_前端/lingyi-pc/src/views/warehouse/WarehouseDashboard.vue;task_touched_product_code=[]
routes_evidence	/sales-inventory/stock-ledger=200->/sales-inventory/stock-ledger|/warehouse=200->/warehouse;source=03_需求与设计/02_开发计划/evidence/yisuan_contract_b036_cand005_regression/route_probe.json
screenshot_evidence	stock_ledger.png=1440x1200|warehouse.png=1440x1200;all_png_1440x1200=true;source=03_需求与设计/02_开发计划/evidence/yisuan_contract_b036_cand005_regression/screenshot_manifest.json
contract_readback	contract_source_readback_present=true;covered_contract_ids=A001|A002|A003;source_files=03_需求与设计/02_开发计划/evidence/yisuan_contract_b036_cand005_regression/contract_source_readback.json|03_需求与设计/02_开发计划/evidence/yisuan_contract_b036_cand005_regression/contract_fields_observation.json
observed_contract_fields	key_fields_observed=true;validation_rules_observed=true;status_rules_observed=true;readonly_readback_observed=true
partial_unknown_blocked_boundary	partial_unknown_blocked_fields_preserved=true;partial_unknown_blocked_fields_claimed_as_confirmed=false
disabled_readback_only_boundary	disabled_or_readback_only_boundary=true;disabled_or_readback_real_action_triggered=false;not_claimed_as_business_action=true
local_dev_draft_path_boundary	local_dev_draft_path_promoted_to_real_action=false;local_dev_draft_write_actions_observed=0;source=03_需求与设计/02_开发计划/evidence/yisuan_contract_b036_cand005_regression/local_dev_draft_path_observation.json
real_object_and_linked_calculation_evidence	real_business_object_created=false;linked_calculation_enabled=false;real_business_object_created_marker_observed=true;linked_calculation_enabled_marker_observed=true
network_write_evidence	write_requests_observed_count=0;production_write_requests=0;erpnext_production_write_requests=0;request_methods_observed_only_GET=true;no_post_put_patch_delete_observed=true;source=03_需求与设计/02_开发计划/evidence/yisuan_contract_b036_cand005_regression/network_write_observation.json
typecheck_evidence	command=npm run typecheck;workdir=06_前端/lingyi-pc;exit_code=0;source=03_需求与设计/02_开发计划/evidence/yisuan_contract_b036_cand005_regression/typecheck_result.json
dev_server_evidence	started=true;stopped=true;source=03_需求与设计/02_开发计划/evidence/yisuan_contract_b036_cand005_regression/dev_server_evidence.json
git_diff_check	PASS
data_boundary	data_classification=contract_merge_no_real_object;covered_contract_ids=A001|A002|A003;test_data_used=false;seed_data_used=false;sqlite_not_formal_database=true;sqlite_direct_reuse_for_production_forbidden=true;erpnext_production_connected=false;production_readback=false;go_live=false;project_completion=false;remote_lifecycle_parked=true
prohibited_actions_confirmation	code_modified=false;local_dev_router_api_backend_modified=false;stage_commit_amend_performed=false;push_pr_tag_release_performed=false;reset_restore_clean_delete_performed=false;erpnext_production_connected=false;real_production_account_used=false
dirty_classification	tracked_dirty_count=18;frontend_dirty_count=5;backend_or_test_dirty_count=10;log_control_dirty_count=3
dirty_intersections	[]
unknown_dirty	[]
must_block_before_continue	[]
residual_risk	库存流水仍保留历史 local-dev 草稿读取路径（GET）；本轮未观察到写请求，后续 ledger 需继续冻结为 not_claimed/disabled-readback-only。
NEXT_ROLE	C Auditor
