field	value
task_id	TASK-Z026B-34-FIX-CAND004
role	B Engineer
selected_candidate	Z026-CAND-004
source_task	TASK-Z026B-33-PREP-CAND004-FAILURE-DIAG
fixed_file	07_后端/lingyi_service/tests/test_subcontract_exception_handling.py
failure_classification	TEST_CONTRACT_UPDATE_ALLOWED
contract_fixed	PARTIAL_FAIL_REMAINING_ASSERTION_DRIFT
assertions_weakened	NO
skip_xfail_deleted_cases	NO
workdir	07_后端/lingyi_service
command	.venv/bin/python -m pytest tests/test_subcontract_exception_handling.py -q
command_run_count	1
exit_code	1
pytest_summary	1 failed, 9 passed, 7 warnings in 1.14s
result	FAIL
stdout_log	03_需求与设计/02_开发计划/task_z026b_34_cand004_fix_stdout.txt
changed_files	07_后端/lingyi_service/tests/test_subcontract_exception_handling.py
git_diff_cached_name_only	[]
git_diff_check	PASS
