field	value
task_id	TASK-Z030B-33-PREP-CAND004-FAILURE-DIAG
source_task	TASK-Z030B-32-IMPL
source_boundary_task	TASK-Z030B-31-PREP
candidate_id	Z030-CAND-004
current_head	d892457a8612122c70ef96e851f72e418baa37b9
frozen_command	.venv/bin/python -m pytest tests/test_subcontract_receive_outbox.py -q
failed_summary	13 failed, 2 passed, 1 warning in 1.21s
failed_cases_count	13
observed_statuses	[409]
expected_statuses	[200,403,409,503]
classification	TEST_CONTRACT_UPDATE_ALLOWED
classification_reason	stale ReceiveRequest carrier payload fixture blocks original receive business branches
allowed_fix_file	07_后端/lingyi_service/tests/test_subcontract_receive_outbox.py
recommended_next_task	TASK-Z030B-34-FIX-CAND004
run_this_task	false
source_evidence_missing	[]
target_test_dirty_diff	false
cached_empty	true
git_diff_check	PASS
pytest_performed	false
npm_performed	false
browser_performed	false
build_performed	false
typecheck_performed	false
verify_performed	false
stage_performed	false
commit_performed	false
push_performed	false
tag_performed	false
pr_performed	false
release_performed	false
cleanup_reset_checkout_stash_performed	false
remote_lifecycle_parked	true
production_readback_ready	false
go_live_ready	false
project_completion_claimed	false
