order	section	command_id	command	expected_result	block_on_fail	source_head	selected_candidate_id	runtime_request_count	write_request_count	production_account_used	remote_lifecycle_action_executed
1	json_parse	JSON-01	"python3 -c ""import json,sys;json.load(open(sys.argv[1],encoding='utf-8'))"" /Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_evidence_index.json"	exit_code_0	True	14fad50ee9c6602bc417ae5692aa0a24bf525433	Z007-CAND-011-PROPOSED	0	0	False	False
2	json_parse	JSON-02	"python3 -c ""import json,sys;json.load(open(sys.argv[1],encoding='utf-8'))"" /Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_coverage_matrix.json"	exit_code_0	True	14fad50ee9c6602bc417ae5692aa0a24bf525433	Z007-CAND-011-PROPOSED	0	0	False	False
3	json_parse	JSON-03	"python3 -c ""import json,sys;json.load(open(sys.argv[1],encoding='utf-8'))"" /Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_blocker_matrix.json"	exit_code_0	True	14fad50ee9c6602bc417ae5692aa0a24bf525433	Z007-CAND-011-PROPOSED	0	0	False	False
4	json_parse	JSON-04	"python3 -c ""import json,sys;json.load(open(sys.argv[1],encoding='utf-8'))"" /Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_gate_command_template.json"	exit_code_0	True	14fad50ee9c6602bc417ae5692aa0a24bf525433	Z007-CAND-011-PROPOSED	0	0	False	False
5	tsv_consistency	TSV-01	python3 /Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/scripts/check_tsv_json_consistency.py --json /Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_evidence_index.json --tsv /Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_evidence_index.tsv --array-key evidence_index_entries	entry_count_order_field_match	True	14fad50ee9c6602bc417ae5692aa0a24bf525433	Z007-CAND-011-PROPOSED	0	0	False	False
6	tsv_consistency	TSV-02	python3 /Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/scripts/check_tsv_json_consistency.py --json /Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_coverage_matrix.json --tsv /Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_coverage_matrix.tsv --array-key coverage_matrix_entries	entry_count_order_field_match	True	14fad50ee9c6602bc417ae5692aa0a24bf525433	Z007-CAND-011-PROPOSED	0	0	False	False
7	tsv_consistency	TSV-03	python3 /Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/scripts/check_tsv_json_consistency.py --json /Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_blocker_matrix.json --tsv /Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_blocker_matrix.tsv --array-key blocker_matrix_entries	entry_count_order_field_match	True	14fad50ee9c6602bc417ae5692aa0a24bf525433	Z007-CAND-011-PROPOSED	0	0	False	False
8	tsv_consistency	TSV-04	python3 /Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/scripts/check_tsv_json_consistency.py --json /Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_gate_command_template.json --tsv /Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_gate_command_template.tsv --array-key gate_command_template_entries	entry_count_order_field_match	True	14fad50ee9c6602bc417ae5692aa0a24bf525433	Z007-CAND-011-PROPOSED	0	0	False	False
9	text_hygiene	TXT-01	python3 /Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/scripts/check_text_hygiene.py --paths-file /Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/scripts/b58_audit_packet_paths.txt	no_trailing_whitespace_and_single_eof_newline	True	14fad50ee9c6602bc417ae5692aa0a24bf525433	Z007-CAND-011-PROPOSED	0	0	False	False
10	git_guard	GIT-01	git -C /Users/hh/Desktop/领意服装管理系统 diff --cached --name-only	empty	True	14fad50ee9c6602bc417ae5692aa0a24bf525433	Z007-CAND-011-PROPOSED	0	0	False	False
11	git_guard	GIT-02	git -C /Users/hh/Desktop/领意服装管理系统 diff --name-only -- 06_前端 07_后端	empty	True	14fad50ee9c6602bc417ae5692aa0a24bf525433	Z007-CAND-011-PROPOSED	0	0	False	False
12	git_guard	GIT-03	git -C /Users/hh/Desktop/领意服装管理系统 diff --cached --check	pass	True	14fad50ee9c6602bc417ae5692aa0a24bf525433	Z007-CAND-011-PROPOSED	0	0	False	False
13	git_guard	GIT-04	git -C /Users/hh/Desktop/领意服装管理系统 diff --check	pass	True	14fad50ee9c6602bc417ae5692aa0a24bf525433	Z007-CAND-011-PROPOSED	0	0	False	False
14	git_guard	GIT-05	git -C /Users/hh/Desktop/领意服装管理系统 tag --points-at HEAD	empty	True	14fad50ee9c6602bc417ae5692aa0a24bf525433	Z007-CAND-011-PROPOSED	0	0	False	False
15	git_guard	GIT-06	git -C /Users/hh/Desktop/领意服装管理系统 branch -r --contains HEAD	empty	True	14fad50ee9c6602bc417ae5692aa0a24bf525433	Z007-CAND-011-PROPOSED	0	0	False	False
16	git_guard	GIT-07	"gh pr list --head ""$(git -C /Users/hh/Desktop/领意服装管理系统 branch --show-current)"" --state all --json number"	[]	True	14fad50ee9c6602bc417ae5692aa0a24bf525433	Z007-CAND-011-PROPOSED	0	0	False	False
