pair_id	status	json_path	tsv_path	json_count	tsv_count	mismatch_count	order_match	identifier_field	json_array_key	core_fields_checked	error_count
task_z007b_58_z007_local_audit_evidence_index	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_evidence_index.json	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_evidence_index.tsv	12	12	0	true	task_id	evidence_index_entries	candidate_id;task_id;order;status;path	0
task_z007b_58_z007_local_audit_coverage_matrix	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_coverage_matrix.json	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_coverage_matrix.tsv	7	7	0	true	coverage_domain	coverage_matrix_entries	order;coverage_status	0
task_z007b_58_z007_local_audit_blocker_matrix	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_blocker_matrix.json	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_blocker_matrix.tsv	4	4	0	true	blocker_domain	blocker_matrix_entries	order;blocker_status	0
task_z007b_58_z007_local_audit_gate_command_template	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_gate_command_template.json	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_gate_command_template.tsv	16	16	0	true	command_id	gate_command_template_entries	order;block_on_fail	0
z007_local_audit_packet_readable_evidence_index	PASS	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z007_pre_go_live_local_audit_packet/z007_local_audit_packet_readable_evidence_index.json	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z007_pre_go_live_local_audit_packet/z007_local_audit_packet_readable_evidence_index.tsv	12	12	0	true	task_id	readable_evidence_index_entries	candidate_id;task_id;order;status;path	0
z007_local_audit_packet_readable_coverage_summary	PASS	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z007_pre_go_live_local_audit_packet/z007_local_audit_packet_readable_coverage_summary.json	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z007_pre_go_live_local_audit_packet/z007_local_audit_packet_readable_coverage_summary.tsv	7	7	0	true	coverage_domain	readable_coverage_summary_entries	order;coverage_status	0
z007_local_audit_packet_readable_blocker_summary	PASS	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z007_pre_go_live_local_audit_packet/z007_local_audit_packet_readable_blocker_summary.json	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z007_pre_go_live_local_audit_packet/z007_local_audit_packet_readable_blocker_summary.tsv	4	4	0	true	candidate_id	readable_blocker_summary_entries	candidate_id;order;blocker_status	0
z007_local_audit_packet_readable_gate_command_checklist	PASS	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z007_pre_go_live_local_audit_packet/z007_local_audit_packet_readable_gate_command_checklist.json	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z007_pre_go_live_local_audit_packet/z007_local_audit_packet_readable_gate_command_checklist.tsv	16	16	0	true	command_id	readable_gate_command_checklist_entries	order;block_on_fail	0
task_z007b_68_remaining_candidate_refresh	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_68_remaining_candidate_refresh.json	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_68_remaining_candidate_refresh.tsv	6	6	0	true	candidate_id	remaining_candidates	candidate_id;order;candidate_status;local_actionable	0
task_z008b_01_local_acceptance_automation_candidate_pool	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z008b_01_local_acceptance_automation_candidate_pool.json	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z008b_01_local_acceptance_automation_candidate_pool.tsv	8	8	0	true	candidate_id	candidates	candidate_id;order;local_actionable	0
