entry_id	key	value
A001	selected_candidate_id	Z006-CAND-006
A002	local_acceptance_closed	true
A003	production_readback_ready	false
A004	go_live_ready	false
A005	blocked_by_remote_or_production_dependency	true
A006	factory_statement_carrier_readback_zero_residual	local_acceptance_closed
A007	warehouse_local_dev_static_fallback_readback	local_acceptance_closed
A008	warehouse_adapter_contract_fixture	local_acceptance_closed
A009	warehouse_permission_mode_matrix	local_acceptance_closed
A010	production_erpnext_non_fallback_readback_closed	false
A011	remote_lifecycle_authorized	false
A012	allowed_write_endpoints	[]
A013	unique_unblock_condition_1	grant_production_readonly_erpnext_account_and_controlled_dataset
A014	unique_unblock_condition_2	authorize_remote_lifecycle_push_pr_tag_release_minimal_scope
A015	recommended_next_task_id	null
A016	optional_local_candidate_suggestion	Z006-CAND-007
A017	readback_business_closed	true
A018	readback_business_closed_scope	local_dev_static_fallback_only
A019	project_completion_claimed	false
A020	remote_lifecycle_parked	true
