field	value
status	DONE
task_id	TASK-MVP-B034-REGRESSION-CAND004
head	27bce8240106c90507c9aa80e120d76ebd629e36
branch	codex/sprint4-seal
regression_only	true
code_modified_in_this_task	false
local_mvp_loop_complete	true
data_classification	test_data
route_sales_orders	200
route_sales_orders_detail	200
route_production_plans	200
dom_anchors_observed	12/12
scenario_tag	MVP-CAND004-REG-20260531072316
save_success	true
draft_id_created	true
quantity_matrix_saved	true
production_plan_draft_created	true
cancel_success	true
readback_success	true
rollback_success	true
zero_residual_success	true
residual_records_after_rollback	0
auth_401_count	0
production_write_requests	0
erpnext_production_write_requests	0
real_production_account_used	false
typecheck_exit_code	0
next_task	TASK-MVP-B035-LEDGER-CAND004
