key	value
cycle_id	Z034
candidate_id	Z034-CAND-003
source_task	TASK-Z034B-20-PREP
exact_workdir	07_后端/lingyi_service
exact_command	.venv/bin/python -m pytest tests/test_style_profit_service.py -q
command_run_count	1
exit_code	0
result	PASS
pytest_summary	12 passed, 1 warning in 0.42s
stdout_path	03_需求与设计/02_开发计划/task_z034b_21_cand003_stdout.txt
target_test	07_后端/lingyi_service/tests/test_style_profit_service.py
target_test_dirty_before	false
target_test_dirty_after	false
fix_attempt	false
rerun_performed	false
continued_after_fail	false
historical_dirty_forbidden_staged	[]
log_control_dirty_staged	[]
z033_cand003_skipped_only_evidence	true
z033_cand003_actual_passed_count	0
z033_cand003_skipped_count	4
stage	false
commit	false
push	false
tag	false
PR	false
release	false
remote_lifecycle_parked	true
production_readback	false
go_live	false
project_completion	false
next_task	TASK-Z034B-22-LEDGER-CAND003
