section	field	value
meta	TASK_ID	TASK-YISUAN-REALOBJ-B020-REGRESSION-CAND003
meta	HEAD	556c7ac1212e5d7b728d710f9f906983cb29aa31
meta	branch	codex/sprint4-seal
meta	cached_count	0
meta	HEAD_tag_count	0
meta	code_modified_in_this_task	false
hash	SalesOrderList.before	e993511b339eef96af0bbd511c89a97213599600
hash	SalesOrderList.after	e993511b339eef96af0bbd511c89a97213599600
hash	SalesOrderDetail.before	3b2fc746a5c5eec9a2cce7a2ae9d84820109c528
hash	SalesOrderDetail.after	3b2fc746a5c5eec9a2cce7a2ae9d84820109c528
hash	ProductionPlanList.before	3dda74079ea63bf63ea05249fe992ee5003faa9d
hash	ProductionPlanList.after	3dda74079ea63bf63ea05249fe992ee5003faa9d
hash	local_dev.before	31e136babdc02e8cc95a697f4df813d3ea6d11e6
hash	local_dev.after	31e136babdc02e8cc95a697f4df813d3ea6d11e6
routes	/sales-inventory/sales-orders	http_200
routes	/sales-inventory/sales-orders/detail	http_200
routes	/production/plans	http_200
screenshots	all_png_1440x1200	true
local_dev	endpoint_prefixes	["/api/local-dev/sales-orders","/api/local-dev/production-plans"]
local_dev	create_request_observed	true
local_dev	update_request_observed	true
local_dev	rollback_request_observed	true
local_dev	all_local_dev_sales_production_write_statuses_success	true
loop	scenario_tag_present	true
loop	create_success	true
loop	update_success	true
loop	local_object_id_created	true
loop	local_object_id	8
loop	sales_order_readback_success	true
loop	order_detail_readback_success	true
loop	quantity_matrix_readback_success	true
loop	production_plan_readback_success	true
loop	cancel_or_rollback_success	true
loop	zero_residual	true
loop	residual_records	0
readback	sales_order_readback_success	true
readback	order_detail_readback_success	true
readback	quantity_matrix_readback_success	true
readback	production_plan_readback_success	true
network	write_requests_observed_count	3
network	local_dev_write_requests_count	3
network	write_requests_only_local_dev_sales_production_endpoints	true
network	production_write_requests	0
network	erpnext_production_write_requests	0
network	real_production_account_used	false
typecheck	command	npm run typecheck
typecheck	workdir	06_前端/lingyi-pc
typecheck	exit_code	0
server	dev_server_started	true
server	dev_server_stopped	true
server	local_dev_server_started	true
server	local_dev_server_stopped	true
boundary	data_classification	local_real_object_test_data_only
boundary	test_data_used	true
boundary	seed_data_used	false
boundary	not_future_production_data	true
boundary	sqlite_not_formal_database	true
boundary	sqlite_direct_reuse_for_production_forbidden	true
safety	production_write_requests	0
safety	erpnext_production_write_requests	0
safety	erpnext_production_connected	false
safety	production_readback	false
safety	go_live	false
safety	project_completion	false
safety	remote_lifecycle_parked	true
actions	stage_commit_amend	false
actions	push_pr_tag_release	false
actions	reset_restore_clean_delete	false
dirty	dirty_intersections	[]
dirty	unknown_dirty	[]
dirty	must_block_before_continue	[]
check	git_diff_check	PASS
result	residual_risk	low
result	NEXT_ROLE	C Auditor
